### Locus tag	Product description
ECU01_1510	UPF0329 protein ECU01_0100/ECU01_1510/ECU08_0030
ECU09_0820	Cell division control protein 11
ECU04_0670	Similarity with dolichol kinase SC59_yeast
ECU03_0110	UPF0328 protein ECU03_0110
ECU01_0130	UPF0329 protein ECU01_0130/ECU01_1480/ECU08_0060
ECU08_1240	WD repeat containing protein
ECU07_1690	CHROMATIN STRUCTURE MODULATOR
ECU05_0500	B-related factor 1
ECU02_0330	PROBABLE CATION TRANSPORTING ATPase
ECU06_1080	Ribosomal_L19e domain-containing protein
ECU05_0180	SWIM-type domain-containing protein
ECU11_0230	Triosephosphate isomerase
ECU11_2020	Kinesin motor domain-containing protein
ECU08_1170	hypothetical protein
ECU01_1560	UPF0328 protein ECU01_0050/ECU01_1560
ECU03_1395	Homeobox protein HD-9
ECU04_1110	Probable meiosis-specific protein SPO11 homolog
ECU10_0150	Zinc finger C2H2 protein ECU10_0150
ECU07_1440	Dopey_N domain-containing protein
ECU03_0710	60S ribosomal protein L34
ECU09_1260	Non-specific serine/threonine protein kinase
ECU11_1400	DNA-directed RNA polymerase II subunit RPB9
ECU11_1360	Similarity to CELL APOPTOSIS-RELATED GENE TFAR19
ECU04_0155	ECU04_0155 protein
ECU10_0640	DYNEIN HEAVY CHAIN
ECU02_1130	Probable serine/threonine-protein kinase MEC1 homolog
ECU04_1150	hypothetical protein
ECU01_1600	Uncharacterized protein ECU01_0010/ECU01_1600/ECU04_0010
ECU04_0415	ECU04_0415 protein
ECU05_1520	ACYLCOENZYME A THIOESTERASE II
ECU03_0620	Probable serine/threonine-protein kinase CHK1 homolog
ECU01_0970	Aldose reductase
ECU02_0320	hypothetical protein
ECU02_1200	Homeobox protein HD-11
ECU06_0030	UPF0328 protein ECU06_0030/ECU06_1690/ECU11_0020
ECU10_0880	Uncharacterized membrane protein ECU10_0880
ECU01_0280	hypothetical protein
ECU01_1570	Uncharacterized protein ECU01_0040
ECU04_1200	SWIB domain-containing protein
ECU02_0140	Ran-specific GTPase-activating protein 1
ECU07_1140	hypothetical protein
ECU10_1320	Similarity to THE ATPase COMPONENT OF THE TWO-SUBUNIT CHROMATIN REMODELING FACTOR
ECU05_1060	DNA-DIRECTED RNA POLYMERASE II 16kDa POLYPEPTIDE
ECU04_0510	KRR-R motif-containing protein 1
ECU05_1450	hypothetical protein
ECU09_1780	MEVALONATE KINASE
ECU07_0030	Uncharacterized protein ECU07_0030/ECU09_2040
ECU10_1250	FH2 domain-containing protein
ECU05_1340	Probable proteasome subunit alpha type-3
ECU07_0610	DNA repair protein RAD50
ECU02_0565	ECU02_0565 protein
ECU10_1800	hypothetical protein
ECU02_0860	Aminotran_1_2 domain-containing protein
ECU05_1670	hypothetical protein
ECU10_0420	ADP%2CATP carrier protein 4
ECU08_0570	Similarity to HYPOTHETICAL NUCLEAR PROTEIN YKJ5_YEAST
ECU07_1360	hypothetical protein
ECU05_0920	40S ribosomal protein S9
ECU06_1420	SPX domain-containing protein
ECU04_0900	Probable phenylalanine--tRNA ligase beta subunit
ECU04_1270	hypothetical protein
ECU05_1050	Telo_bind domain-containing protein
ECU11_1500	NIMA-LIKE SER/THR PROTEIN KINASE
ECU07_1770	hypothetical protein
ECU04_0960	hypothetical protein
ECU06_1600	hypothetical protein
ECU01_0470	Fork-head domain-containing protein
ECU03_0660	UBIQUITIN CARBOXY-TERMINAL HYDROLASE 14
ECU05_1500	WD_REPEATS_REGION domain-containing protein
ECU08_2130	Uncharacterized protein ECU01_0040
ECU08_2110	Uncharacterized protein ECU01_0060/ECU01_1550/ECU02_1580/ECU04_0070/ ECU08_2110
ECU09_1110	hypothetical protein
ECU06_0070	UPF0328 protein ECU06_0070
ECU11_0150	hypothetical protein
ECU04_0530	HSF_DOMAIN domain-containing protein
ECU10_1540	UBC core domain-containing protein
ECU03_1510	Unclear
ECU03_0080	UPF0328 protein ECU10_1820
ECU06_0080	UPF0329 protein ECU06_0080
ECU11_1850	hypothetical protein
ECU10_0760	Bromo domain-containing protein
ECU03_1160	SAC domain-containing protein
ECU02_0640	TRANSCRIPTIONAL REPRESSOR FOR RNA POLYMERASE II
ECU07_0180	ACID PHOSPHATASE PRECURSOR
ECU01_1400	Uncharacterized protein ECU01_0210/ECU01_1400
ECU02_0880	40S ribosomal protein S8
ECU07_1160	hypothetical protein
ECU04_0130	hypothetical protein
ECU07_1110	hypothetical protein
ECU06_0240	Polar tube protein 2
ECU04_0040	Uncharacterized protein ECU01_0030
ECU04_0730	Glucosamine_iso domain-containing protein
ECU02_0920	Spindle assembly checkpoint component MAD1
ECU04_1625	ECU04_1625 protein
ECU08_1225	ECU08_1225 protein
ECU06_1370	hypothetical protein
ECU08_0720	hypothetical protein
ECU01_0630	Probable cell cycle serine/threonine-protein kinase CDC5 homolog
ECU05_0030	UPF0328 protein ECU05_0030
ECU01_0080	UPF0329 protein ECU01_0080/ECU01_1530/ECU02_1560/ECU04_0090/ECU08_0010/ECU08_2090
ECU10_0070	60S ribosomal protein L35-1
ECU02_1260	hypothetical protein
ECU05_0580	Aa_trans domain-containing protein
ECU08_1980	hypothetical protein
ECU06_1190	Putative GTP-BINDING PROTEIN
ECU02_1210	Probable glutamate--tRNA ligase%2C cytoplasmic
ECU03_1180	Putative subtilisin-like proteinase 2
ECU05_0570	Ubiquitinyl hydrolase 1
ECU09_1020	hypothetical protein
ECU05_1540	26S proteasome regulatory subunit RPN3
ECU03_0500	V-type proton ATPase subunit C
ECU03_0300	E3 ubiquitin ligase complex SCF subunit
ECU06_0050	UPF0329 protein ECU06_0050
ECU04_1460	DENN domain-containing protein
ECU10_1330	ERCC1-LIKE DNA EXCISION REPAIR PROTEIN
ECU06_0620	Probable histidine--tRNA ligase%2C cytoplasmic
ECU08_1730	hypothetical protein
ECU04_1520	hypothetical protein
ECU01_0540	RRM domain-containing protein
ECU11_1280	V-type proton ATPase catalytic subunit A
ECU03_1580	hypothetical protein
ECU06_1445	40S ribosomal protein S26
ECU07_0780	J domain-containing protein
ECU06_0590	hypothetical protein
ECU03_1430	Similarity to RAS-LIKE GTP-BINDING PROTEIN YPT1
ECU05_0330	hypothetical protein
ECU09_0790	PDEase domain-containing protein
ECU11_0680	hypothetical protein
ECU01_0600	RPOLD domain-containing protein
ECU10_1640	Helicase ATP-binding domain-containing protein
ECU08_0490	Cysteine--tRNA ligase
ECU04_1600	hypothetical protein
ECU02_0200	LNS2 domain-containing protein
ECU08_2000	hypothetical protein
ECU09_0060	GPI-anchored wall transfer protein 1
ECU07_0380	Exonuclease domain-containing protein
ECU07_0100	Similarity to NGG1-INTERACTING FACTOR 3
ECU02_1500	TFIID_20kDa domain-containing protein
ECU04_1080	Uncharacterized membrane protein ECU04_1080
ECU01_0100	UPF0329 protein ECU01_0100/ECU01_1510/ECU08_0030
ECU08_1520	V-type proton ATPase subunit
ECU02_0260	GATA-type domain-containing protein
ECU07_0910	hypothetical protein
ECU07_1030	hypothetical protein
ECU01_1120	RNA-splicing ligase RtcB homolog
ECU09_1320	Glyco_hydro_19_cat domain-containing protein
ECU08_1620	Protein kinase domain-containing protein
ECU02_1520	ATP-DEPENDENT RNA HELICASE INVOLVED IN mRNA EXPORT FROM THE NUCLEUS
ECU04_0790	Sm protein F
ECU07_0740	Aquaporin
ECU09_0560	GPI mannosyltransferase 2
ECU04_1450	hypothetical protein
ECU09_0830	RIBONUCLEASE PH-LIKE PROTEIN
ECU09_0600	hypothetical protein
ECU08_0620	hypothetical protein
ECU08_1180	WD_REPEATS_REGION domain-containing protein
ECU07_1655	ECU07_1655 protein
ECU02_1450	Probable serine/threonine-protein kinase KIN28 homolog
ECU05_0060	Kinesin-like protein
ECU04_1580	similarity to HYPOTHETICAL PROTEIN YKB8_yeast
ECU09_0950	Omp85 domain-containing protein
ECU08_0090	Thymidylate synthase 3
ECU10_1030	hypothetical protein
ECU05_1630	Uncharacterized protein ECU05_1630/ECU11_0100
ECU03_1230	Similarity to PERIODIC TRYPTOPHAN PROTEIN 1
ECU03_1520	WD_REPEATS_REGION domain-containing protein
ECU05_0860	6-phosphogluconate dehydrogenase%2C decarboxylating
ECU05_0040	UPF0329 protein ECU03_0030/ECU05_0040/ECU06_0010/ECU06_1710/ECU11_0010
ECU06_0880	CULLIN HOMOLOG (CDC53 family)
ECU09_1060	hypothetical protein
ECU07_1120	Uncharacterized protein ECU07_1120
ECU02_0110	hypothetical protein
ECU06_1170	hypothetical protein
ECU03_0170	hypothetical protein
ECU10_0570	Protein kinase domain-containing protein
ECU05_1370	Ste24 endopeptidase
ECU04_0600	AMINOPEPTIDASE P-LIKE PROTEIN
ECU08_1220	hypothetical protein
ECU08_1160	60S ribosomal protein L23
ECU02_0610	60S ribosomal protein L11
ECU07_1800	hypothetical protein
ECU01_1110	hypothetical protein
ECU05_0520	TAFII55_N domain-containing protein
ECU11_1750	Transcription initiation factor TFIID subunit 5
ECU09_0350	NOC3p domain-containing protein
ECU09_0480	T-complex protein 1 subunit beta
ECU01_0690	hypothetical protein
ECU07_0930	Similarity to 60S RIBOSOMAL PROTEIN L24
ECU08_1640	GENERAL TRANSCRIPTION FACTOR
ECU01_1230	Cell division control protein 48
ECU08_0250	V-ATPase_H_C domain-containing protein
ECU09_1730	CDC73_C domain-containing protein
ECU10_1210	DNA POLYMERASE EPSILON
ECU08_0930	Cyclic nucleotide-binding domain-containing protein
ECU07_0570	hypothetical protein
ECU05_1250	Phosphatidate cytidylyltransferase
ECU10_1280	Serine/threonine-protein phosphatase
ECU05_0110	Uncharacterized protein ECU05_0110
ECU08_1805	ECU08_1805 protein
ECU03_1480	hypothetical protein
ECU07_0800	Glyceraldehyde-3-phosphate dehydrogenase
ECU05_0430	hypothetical protein
ECU10_0440	ATP-dependent rRNA helicase RRP3
ECU08_1760	hypothetical protein
ECU08_0020	UPF0328 protein ECU01_0090/ECU01_1520/ECU02_1550/ECU08_0020
ECU05_1300	SMP-LTD domain-containing protein
ECU04_0660	Lipase_3 domain-containing protein
ECU05_0840	PX domain-containing protein
ECU01_0940	UBC core domain-containing protein
ECU09_1520	18S rRNA aminocarboxypropyltransferase
ECU11_1710	hypothetical protein
ECU11_0510	Polysaccharide deacetylase domain-containing protein ECU11_0510
ECU08_1080	ATP-dependent RNA helicase DBP2
ECU08_1530	similarity to HYPOTHETICAL PROTEIN Y041_METJA
ECU09_0980	Serine/threonine-protein phosphatase
ECU08_1250	WD_REPEATS_REGION domain-containing protein
ECU09_1330	Replication factor C subunit 4
ECU08_0700	Protein RER1
ECU02_0270	hypothetical protein
ECU05_0300	DNA_mis_repair domain-containing protein
ECU11_0930	S1 motif domain-containing protein
ECU11_0090	UPF0328 protein ECU05_1640/ECU11_0090
ECU08_1000	hypothetical protein
ECU11_1920	Derlin
ECU04_0560	hypothetical protein
ECU03_1100	PI3K/PI4K domain-containing protein
ECU04_0350	DNA topoisomerase 2
ECU06_1110	40S ribosomal protein S18
ECU06_0190	VACUOLAR ATP SYNTHASE 16kDa PROTEOLIPID SUBUNIT
ECU02_1020	SMALL NUCLEAR RIBONUCLEOPROTEIN E
ECU05_1680	UPF0329 protein ECU05_1680/ECU11_0050
ECU07_0080	hypothetical protein
ECU05_1090	hypothetical protein
ECU09_0460	Putative leucine repeat-rich protein
ECU09_0610	hypothetical protein
ECU01_1100	hypothetical protein
ECU11_1870	MFS_1_like domain-containing protein
ECU01_0590	hypothetical protein
ECU09_1310	Histone acetyltransferase
ECU06_1550	WD_REPEATS_REGION domain-containing protein
ECU10_1290	FeS_assembly_P domain-containing protein
ECU11_0410	hypothetical protein
ECU04_0650	hypothetical protein
ECU10_0445	ECU10_0445 protein
ECU07_0660	Ubiquitin-like domain-containing protein
ECU10_0060	Uncharacterized protein ECU10_0060/ECU11_2080i
ECU10_0730	hypothetical protein
ECU02_0670	PUTATIVE ATP-DEPENDENT RNA HELICASE (DEAD box family)
ECU01_0310	60S ribosomal protein L8
ECU06_1220	hypothetical protein
ECU06_0930	P-type phospholipid transporter
ECU11_1540	Phosphotransferase
ECU05_0290	Probable proteasome subunit beta type-7
ECU11_0850	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
ECU09_0370	hypothetical protein
ECU04_0160	hypothetical protein
ECU06_0910	USP domain-containing protein
ECU04_0010	Uncharacterized protein ECU01_0010/ECU01_1600/ECU04_0010
ECU06_1135	ECU06_1135 protein
ECU08_2070	UPF0329 protein ECU08_2070
ECU08_1100	Coatomer subunit beta
ECU09_1720	hypothetical protein
ECU05_0460	hypothetical protein
ECU07_1740	MADS-box domain-containing protein
ECU11_0050	UPF0329 protein ECU05_1680/ECU11_0050
ECU08_0670	Tubulin gamma chain
ECU07_0160	similarity to HYPOTHETICAL PROTEIN YDW4_SCHPO
ECU04_0940	Similarity to TRANSLOCATION PROTEIN SEC66
ECU08_1610	Ribosome maturation protein SDO1
ECU04_0080	UPF0328 protein ECU01_0070/ECU01_1540/ECU02_1570/ECU04_0080/ECU08_2100
ECU06_0330	Peptidyl-prolyl cis-trans isomerase
ECU09_1350	40S RIBOSOMAL PROTEIN S15A (S22 in yeast)
ECU01_0500	Mediator of RNA polymerase II transcription subunit 6
ECU10_1300	60S ribosomal protein L44
ECU05_0785	ECU05_0785 protein
ECU03_0440	DNA-directed RNA polymerase subunit beta
ECU06_0530	Tub domain-containing protein
ECU07_1600	Threonyl-tRNA synthetase
ECU02_1300	Dolichyl-phosphate-mannose--protein mannosyltransferase
ECU04_1190	Aa_trans domain-containing protein
ECU06_0140	hypothetical protein
ECU09_0710	Endoplasmic reticulum junction formation protein lunapark
ECU08_1510	Ribosome biogenesis regulatory protein
ECU11_0690	NTP_transferase domain-containing protein
ECU06_1630	hypothetical protein
ECU04_1425	ECU04_1425 protein
ECU11_0920	LisH domain-containing protein
ECU07_0690	Fe2OG dioxygenase domain-containing protein
ECU11_0820	DNA repair protein RAD51 homolog
ECU01_0660	Similarity to THIOREDOXIN REDUCTASE
ECU09_0230	Palmitoyltransferase
ECU03_0910	Probable casein kinase I homolog ECU03_0910
ECU01_1500	UPF0329 protein ECU01_0110/ECU01_1500/ECU08_0040
ECU06_0680	DUF5094 domain-containing protein
ECU07_1250	hypothetical protein
ECU10_1505	Putative zinc finger protein
ECU09_0870	Similarity to MITOCHONDRIAL TRANSLOCASE TOM70
ECU04_1380	60S RIBOSOMAL PROTEIN L13A (L16)
ECU11_0730	CBFD_NFYB_HMF domain-containing protein
ECU04_1290	ATP-DEPENDENT RNA HELICASE (SKI2 FAMILY)
ECU05_0250	40S ribosomal protein S1
ECU07_1490	hypothetical protein
ECU04_1230	HUN domain-containing protein
ECU08_1750	hypothetical protein
ECU05_1230	Putative NUCLEAR PROTEIN OF THE G10 FAMILY
ECU01_0120	UPF0329 protein ECU01_0120/ECU01_1490/ECU08_0050
ECU11_1260	MutL_C domain-containing protein
ECU09_0840	CYCLIN C-LIKE PROTEIN
ECU04_0910	Putative ATP-DEPENDENT RNA HELICASE (SKI2 SUBFAMILY)
ECU01_0750	RING-type domain-containing protein
ECU11_1000	RING-type domain-containing protein
ECU06_0185	ECU06_0185 protein
ECU10_0250	DNA-directed RNA polymerase II subunit RPB2
ECU05_0690	GPI-anchored wall transfer protein 1
ECU02_0530	RRM domain-containing protein
ECU11_0970	hypothetical protein
ECU06_0440	Ribonuclease Z
ECU04_0575	ECU04_0575 protein
ECU06_0760	hypothetical protein
ECU11_0980	Longin domain-containing protein
ECU04_0860	hypothetical protein
ECU09_0720	Probable proteasome subunit beta type-2
ECU07_0240	Similarity to TRANSLOCASE TIM22/17
ECU02_0705	ECU02_0705 protein
ECU10_0210	DNA-directed RNA polymerase III subunit RPC6
ECU02_1590	UPF0328 protein ECU02_1590/ECU04_0060/ECU08_2120
ECU08_0765	RPOL4c domain-containing protein
ECU04_0420	MPN domain-containing protein
ECU06_0770	Adaptin_N domain-containing protein
ECU10_1460	Probable glutamine--tRNA ligase
ECU11_2080	Uncharacterized protein ECU10_0060/ECU11_2080i
ECU08_0770	DNA-(apurinic or apyrimidinic site) lyase
ECU03_1620	UPF0328 protein ECU03_1620
ECU07_0520	Probable cAMP-dependent protein kinase catalytic subunit
ECU11_1150	Similarity to MEMBRANE PROTEIN ORM1
ECU07_0890	RNA polymerase II subunit A C-terminal domain phosphatase
ECU02_0340	Proteasome endopeptidase complex
ECU05_1000	hypothetical protein
ECU06_0230	RRM domain-containing protein
ECU07_0680	SMC hinge domain-containing protein
ECU08_1690	Arf-GAP domain-containing protein
ECU03_0900	SEC1 family transport protein SLY1
ECU03_0810	hypothetical protein
ECU05_0140	Uncharacterized membrane protein ECU05_0140
ECU08_2060	UPF0328 protein ECU08_2060
ECU05_0800	Nucleolar GTP-binding protein 1
ECU09_0275	ECU09_0275 protein
ECU10_0180	D-ribose-5-phosphate ketol-isomerase
ECU09_1830	Cyclin N-terminal domain-containing protein
ECU02_0500	hypothetical protein
ECU03_1040	SANT domain-containing protein
ECU04_1070	DNA topoisomerase
ECU07_1020	WD_REPEATS_REGION domain-containing protein
ECU10_0970	hypothetical protein
ECU06_0320	DNA-directed RNA polymerases I%2C II%2C and III subunit RPABC5
ECU07_1300	hypothetical protein
ECU11_0280	hypothetical protein
ECU01_1490	UPF0329 protein ECU01_0120/ECU01_1490/ECU08_0050
ECU11_0330	PINc domain-containing protein
ECU02_0160	hypothetical protein
ECU08_2140	Uncharacterized protein ECU01_0030
ECU07_1100	MFS domain-containing protein
ECU11_1520	tRNA (guanine-N(7)-)-methyltransferase
ECU11_0290	hypothetical protein
ECU04_0470	hypothetical protein
ECU04_1490	Uncharacterized LisH domain-containing protein ECU04_1490
ECU09_1530	hypothetical protein
ECU05_1490	Ribosomal_L7Ae domain-containing protein
ECU10_1270	FCP1 homology domain-containing protein
ECU06_0660	hypothetical protein
ECU11_0670	Eukaryotic translation initiation factor 2A
ECU10_0230	hypothetical protein
ECU03_0350	hypothetical protein
ECU05_0275	RNA_pol_L_2 domain-containing protein
ECU10_0320	Kinesin motor domain-containing protein
ECU04_1430	RING-Gid-type domain-containing protein
ECU11_1935	ECU11_1935 protein
ECU11_1760	Importin subunit alpha
ECU03_0730	NUCLEOLAR PROTEIN OF THE GAR FAMILY
ECU01_0780	RING-type domain-containing protein
ECU05_0495	SYNAPTOBREVIN-RELATED PROTEIN
ECU08_0900	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E (mRNA CAP-BINDING PROTEIN)
ECU05_1020	H/ACA ribonucleoprotein complex subunit CBF5
ECU11_1350	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E
ECU08_1870	Proteasome subunit beta
ECU09_0890	hypothetical protein
ECU09_0930	Similarity to DNA repair and recombination RAD22
ECU09_0120	hypothetical protein
ECU06_0450	hypothetical protein
ECU07_0070	UPF0329 protein ECU07_0070
ECU08_1290	Geranylgeranyl transferase type-2 subunit beta
ECU01_1050	hypothetical protein
ECU11_1620	40S ribosomal protein S19
ECU01_0890	hypothetical protein
ECU10_0340	Inorganic pyrophosphatase
ECU07_0750	Histone acetyltransferase type B subunit 2
ECU04_0030	hypothetical protein
ECU05_1080	PCI domain-containing protein
ECU08_0985	ECU08_0985 protein
ECU03_0780	hypothetical protein
ECU03_1020	hypothetical protein
ECU10_0390	Sec5 domain-containing protein
ECU04_0410	hypothetical protein
ECU10_1740	Calponin-homology (CH) domain-containing protein
ECU06_0730	Ribonucleoside-diphosphate reductase small chain
ECU11_0570	26S proteasome regulatory subunit RPN11
ECU10_1420	26S proteasome regulatory subunit 6A
ECU09_1750	Similarity to ENHANCER OF ZESTE PROTEIN
ECU08_1400	GATA-type domain-containing protein
ECU01_0350	Similarity to CHROMODOMAIN HELICASE DNA-BINDING PROTEIN 2
ECU07_1005	60S RIBOSOMAL PROTEIN L37A (L43)
ECU08_0190	hypothetical protein
ECU05_1110	Similarity to HYPOTHETICAL ZINC FINGER PROTEINS YDRD_SCHPO
ECU11_0760	EXONUCLEASE 1
ECU08_0680	Coatomer subunit zeta
ECU04_1540	hypothetical protein
ECU11_1740	Aa_trans domain-containing protein
ECU01_0770	hypothetical protein
ECU04_0270	AN1-type domain-containing protein
ECU06_1620	UPF0329 protein ECU06_1620
ECU04_1610	Probable eukaryotic translation initiation factor 4 gamma homolog
ECU11_1060	hypothetical protein
ECU02_1310	hypothetical protein
ECU05_0780	DNA helicase
ECU08_1450	tRNA (guanine(26)-N(2))-dimethyltransferase
ECU08_0270	Uncharacterized protein ECU08_0270
ECU02_1340	ThiF domain-containing protein
ECU02_0650	PH domain-containing protein
ECU04_0110	UPF0329 protein ECU04_0110
ECU10_1180	UBIQUITIN FUSION DEGRADATION PROTEIN 1
ECU01_0760	HTH myb-type domain-containing protein
ECU07_0040	UPF0328 protein ECU07_0040
ECU04_0630	UBC core domain-containing protein
ECU05_0160	Aa_trans domain-containing protein
ECU11_1330	Fork-head domain-containing protein
ECU04_1530	Rab-GAP TBC domain-containing protein
ECU09_0910	Deoxyhypusine synthase
ECU10_1110	Polyadenylate-binding protein%2C cytoplasmic and nuclear
ECU01_0360	Brix domain-containing protein
ECU06_0040	UPF0329 protein ECU06_0040
ECU09_1410	hypothetical protein
ECU01_1360	H/ACA ribonucleoprotein complex subunit GAR1
ECU05_1380	Glutaredoxin domain-containing protein
ECU11_0040	UPF0328 protein ECU05_1690/ECU11_0040
ECU05_0740	GUANINE NUCLEOTIDE-BINDING PROTEIN BETA SUBUNIT 2
ECU07_1380	Ubiquitin-like domain-containing protein
ECU01_0430	ZINC FINGER PROTEIN
ECU05_0730	Aminotran_1_2 domain-containing protein
ECU09_0490	Nuclear pore protein
ECU02_1560	UPF0329 protein ECU01_0080/ECU01_1530/ECU02_1560/ECU04_0090/ECU08_0010/ECU08_2090
ECU04_0340	hypothetical protein
ECU06_1380	Ferritin
ECU02_0400	hypothetical protein
ECU09_0770	DNA POLYMERASE DELTA SMALL SUBUNIT
ECU09_1930	hypothetical protein
ECU07_1620	BOS1-LIKE VESICULAR TRANSPORT PROTEIN
ECU03_1410	Vesicular-fusion protein SEC18
ECU02_0470	hypothetical protein
ECU06_0610	MTS domain-containing protein
ECU10_1560	hypothetical protein
ECU04_0920	hypothetical protein
ECU03_0280	UTP--glucose-1-phosphate uridylyltransferase
ECU08_0180	hypothetical protein
ECU03_0950	60S ribosomal protein L7
ECU11_0300	similarity to HYPOTHETICAL PROTEIN YACE_BRELA
ECU10_1650	hypothetical protein
ECU08_0545	Sm domain-containing protein
ECU04_0150	hypothetical protein
ECU06_1670	UPF0329 protein ECU06_1670
ECU01_0400	hypothetical protein
ECU07_0900	Hydrolase_4 domain-containing protein
ECU11_0830	Similarity to TRANSCRIPTION INITIATION FACTOR TFIID 30kDa SUBUNIT
ECU02_0550	Probable serine/threonine-protein kinase ECU02_0550
ECU04_1340	CBF domain-containing protein
ECU05_0960	hypothetical protein
ECU06_0850	hypothetical protein
ECU10_0160	60S RIBOSOMAL PROTEIN L23A
ECU10_1200	Casein kinase II subunit beta
ECU08_2090	UPF0329 protein ECU01_0080/ECU01_1530/ECU02_1560/ECU04_0090/ECU08_0010/ECU08_2090
ECU03_0550	hypothetical protein
ECU02_0460	similarity to NUCLEAR PORE COMPLEX PROTEINS NUP98/116
ECU09_0250	DNA-directed RNA polymerase III subunit RPC3
ECU10_1770	Cytosol aminopeptidase
ECU02_0615	ECU02_0615 protein
ECU08_1990	hypothetical protein
ECU07_1830	Sm domain-containing protein
ECU07_0090	DNA-directed RNA polymerase subunit
ECU11_0170	LEUCINE-RICH RAS SUPPRESSOR PROTEIN
ECU09_0020	UPF0328 protein ECU09_0020
ECU04_0260	Palmitoyltransferase
ECU01_1550	Uncharacterized protein ECU01_0060/ECU01_1550/ECU02_1580/ECU04_0070/ ECU08_2110
ECU09_1460	hypothetical protein
ECU09_1370	hypothetical protein
ECU08_1130	Brix domain-containing protein
ECU05_0530	hypothetical protein
ECU02_1010	similarity to HYPOTHETICAL PROTEIN YDED_SCHPO
ECU06_0720	Serine/threonine-protein phosphatase 2A activator
ECU01_0040	Uncharacterized protein ECU01_0040
ECU07_0020	Uncharacterized protein ECU07_0020
ECU10_0950	similarity to HYPOTHETICAL PROTEIN YDI3_yeast
ECU02_0020	UPF0328 protein ECU02_0020/ECU04_1700
ECU07_0260	Sec8_exocyst domain-containing protein
ECU05_1310	U6 snRNA-associated Sm-like protein LSm1
ECU03_0760	Nuclear cap-binding protein subunit 2
ECU11_1900	hypothetical protein
ECU11_1170	WD_REPEATS_REGION domain-containing protein
ECU05_0885	Probable protein transport protein Sec61 subunit gamma
ECU05_1170	similarity to HYPOTHETICAL PROTEIN YGX4_yeast
ECU02_0930	Suf domain-containing protein
ECU05_1075	ECU05_1075 protein
ECU06_1280	hypothetical protein
ECU04_0930	SMC hinge domain-containing protein
ECU02_1470	Uncharacterized membrane protein ECU02_1470
ECU09_1550	hypothetical protein
ECU03_1500	J domain-containing protein
ECU08_0495	ECU08_0495 protein
ECU08_1830	C-CAP/cofactor C-like domain-containing protein
ECU11_0790	Protein transport protein SEC23
ECU11_1800	hypothetical protein
ECU05_0850	hypothetical protein
ECU10_0780	DNA REPLICATION FACTOR C 38kDa SUBUNIT
ECU09_0960	hypothetical protein
ECU09_1950	Uncharacterized membrane protein ECU09_1950
ECU02_1410	Rab GDP dissociation inhibitor
ECU07_0440	BRCA-2_OB1 domain-containing protein
ECU08_1590	hypothetical protein
ECU11_1490	PSP domain-containing protein
ECU06_0640	hypothetical protein
ECU07_1660	Probable phenylalanine--tRNA ligase alpha subunit
ECU05_1040	Uncharacterized protein ECU05_1040
ECU08_0420	hypothetical protein
ECU01_1380	GP-PDE domain-containing protein
ECU09_0110	hypothetical protein
ECU05_1410	hypothetical protein
ECU01_0870	Probable trehalose-phosphatase
ECU02_1540	UPF0329 protein ECU02_1540
ECU10_1160	Anaphase-promoting complex subunit 1
ECU01_1370	Cell division control protein 3
ECU04_0980	Signal recognition particle 54 kDa protein homolog
ECU08_0325	ECU08_0325 protein
ECU08_0260	Cyclin N-terminal domain-containing protein
ECU11_0860	Possible PRE-mRNA SPLICING FACTOR (ATP-DEPENDENT RNA HELICASE)
ECU07_0865	ECU07_0865 protein
ECU08_0880	Endonuclease III homolog
ECU09_0210	hypothetical protein
ECU08_0960	hypothetical protein
ECU10_1820	UPF0328 protein ECU10_1820
ECU07_0550	hypothetical protein
ECU08_1330	DNA-directed RNA polymerase I subunit RPA12
ECU05_1570	hypothetical protein
ECU02_0230	Isopentenyl-diphosphate Delta-isomerase
ECU11_1970	WD_REPEATS_REGION domain-containing protein
ECU03_0190	hypothetical protein
ECU01_0490	similarity to HYPOTHETICAL PROTEIN YQBP_BACSU
ECU04_0100	UPF0328 protein ECU04_0100
ECU10_1580	Small nuclear ribonucleoprotein Sm D2
ECU02_1440	DUF663 domain-containing protein
ECU02_1580	Uncharacterized protein ECU01_0060/ECU01_1550/ECU02_1580/ECU04_0070/ ECU08_2110
ECU03_1530	Similarity to HELICASE MOT1
ECU01_0380	similarity to HYPOTHETICAL PROTEIN: YN28_yeast
ECU08_0350	RIBOSOMAL PROTEIN S15
ECU08_0760	ERCC4 domain-containing protein
ECU01_1390	Chitin synthase 1
ECU01_1220	Guanylate kinase-like domain-containing protein
ECU04_0200	SER/THR PROTEIN PHOSPHATASE 2A REGULATORY SUBUNIT BETA
ECU05_0880	hypothetical protein
ECU11_0490	hypothetical protein
ECU01_0580	hypothetical protein
ECU04_0740	60S ribosomal protein L22
ECU08_0630	DNA primase small subunit
ECU06_1540	hypothetical protein
ECU05_0510	Uncharacterized protein ECU05_0510
ECU08_0390	HIT domain-containing protein
ECU07_0320	SAM_MT_RSMB_NOP domain-containing protein
ECU08_0070	Probable M1 family aminopeptidase 2
ECU02_0810	Probable ribosome biogenesis protein RLP24
