### Query	Predictor	RCSB Code	Chain	RMSD	nAlign	GDT

### ECU01_0010
ECU02_1330-m1	ALPHAFOLD	6R0W	I	1.61	101	0.765
ECU02_1330-m1	ALPHAFOLD	3K5B	G	1.43	98	0.785
ECU02_1330-m1	ALPHAFOLD	3J0J	I	1.43	98	0.780
ECU02_1330-m1	RAPTORX	3S4R	B	2.54	86	0.615
ECU02_1330-m1	RAPTORX	4N3Y	C	2.43	81	0.639
ECU02_1330-m1	RAPTORX	3IV1	C	2.25	70	0.643
ECU02_1330-m1	RAPTORX	3IV1	F	2.30	70	0.647
ECU02_1330-m1	RAPTORX	3IV1	D	2.17	69	0.643

### ECU02_1340
ECU02_1340-m1	RAPTORX	3KYD	B	0.91	424	0.949
ECU02_1340-m1	RAPTORX	6CWY	D	2.03	335	0.634
ECU02_1340-m1	RAPTORX	1Y8R	E	1.81	326	0.674
ECU02_1340-m1	RAPTORX	6CWZ	D	1.74	323	0.669
ECU02_1340-m1	RAPTORX	1Y8Q	B	2.01	330	0.656
ECU02_1340-m1	ALPHAFOLD	6XOI	B	2.20	308	0.572
ECU02_1340-m1	ALPHAFOLD	6XOG	B	2.39	332	0.562
ECU02_1340-m1	ALPHAFOLD	6XOH	B	2.42	331	0.554
ECU02_1340-m1	ALPHAFOLD	1Y8Q	D	2.46	340	0.564
ECU02_1340-m1	ALPHAFOLD	1YOV	D	2.33	284	0.549

### ECU02_1350
ECU02_1350-m1	RAPTORX	4YO2	A	1.82	91	0.435
ECU02_1350-m1	ALPHAFOLD	4FHT	A	2.64	84	0.415
ECU02_1350-m1	ALPHAFOLD	4FHT	B	2.67	83	0.386
ECU02_1350-m1	ALPHAFOLD	6PCO	A	2.73	83	0.403
ECU02_1350-m1	ALPHAFOLD	6LBS	D	2.52	80	0.348
ECU02_1350-m1	ALPHAFOLD	6LBS	B	2.54	79	0.358
ECU02_1350-m1	RAPTORX	3H0D	B	2.50	78	0.344
ECU02_1350-m1	RAPTORX	2FE3	A	3.05	82	0.388
ECU02_1350-m1	RAPTORX	2RGV	A	3.07	80	0.395
ECU02_1350-m1	RAPTORX	2FE3	B	3.08	82	0.381

### ECU02_1360
ECU02_1360-m1	RAPTORX	4K86	A	0.37	486	0.988
ECU02_1360-m1	RAPTORX	4K88	A	1.07	482	0.926
ECU02_1360-m1	RAPTORX	4K87	A	1.00	480	0.927
ECU02_1360-m1	ALPHAFOLD	4YDQ	B	1.18	476	0.904
ECU02_1360-m1	ALPHAFOLD	4K87	A	1.20	483	0.894
ECU02_1360-m1	RAPTORX	5XIF	B	1.06	465	0.920
ECU02_1360-m1	ALPHAFOLD	5F9Y	B	1.15	465	0.920
ECU02_1360-m1	ALPHAFOLD	4OLF	A	1.26	480	0.890
ECU02_1360-m1	ALPHAFOLD	4K88	A	1.30	484	0.888
ECU02_1360-m1	RAPTORX	4HVC	B	1.12	474	0.921

### ECU02_1370
ECU02_1370-m1	RAPTORX	5Z66	A	0.83	489	0.931
ECU02_1370-m1	RAPTORX	2JJB	C	1.09	479	0.905
ECU02_1370-m1	RAPTORX	2JG0	A	1.14	483	0.907
ECU02_1370-m1	RAPTORX	2WYN	C	1.10	479	0.901
ECU02_1370-m1	RAPTORX	2JF4	A	1.10	463	0.909
ECU02_1370-m1	ALPHAFOLD	2JF4	A	1.78	454	0.758
ECU02_1370-m1	ALPHAFOLD	5Z66	A	1.73	469	0.748
ECU02_1370-m1	ALPHAFOLD	2JG0	A	1.80	470	0.753
ECU02_1370-m1	ALPHAFOLD	2WYN	A	1.80	466	0.736
ECU02_1370-m1	ALPHAFOLD	2JJB	A	1.83	466	0.739

### ECU02_1380
ECU02_1380-m1	RAPTORX	4IL3	A	0.52	401	0.962
ECU02_1380-m1	RAPTORX	4IL3	B	1.06	402	0.906
ECU02_1380-m1	RAPTORX	4AW6	D	1.38	396	0.819
ECU02_1380-m1	RAPTORX	4AW6	E	1.41	396	0.815
ECU02_1380-m1	RAPTORX	2YPT	D	1.40	394	0.812
ECU02_1380-m1	ALPHAFOLD	4AW6	D	1.82	396	0.751
ECU02_1380-m1	ALPHAFOLD	4IL3	A	1.59	388	0.777
ECU02_1380-m1	ALPHAFOLD	4IL3	B	1.68	393	0.779
ECU02_1380-m1	ALPHAFOLD	2YPT	D	1.83	393	0.751
ECU02_1380-m1	ALPHAFOLD	4AW6	B	1.85	396	0.744

### ECU02_1395
ECU02_1395-m1	ALPHAFOLD	6Z1U	b	2.53	39	0.569
ECU02_1395-m1	RAPTORX	2KYV	E	1.91	40	0.500
ECU02_1395-m1	RAPTORX	2KYV	D	1.88	40	0.512
ECU02_1395-m1	RAPTORX	2KYV	B	1.88	40	0.512
ECU02_1395-m1	RAPTORX	2KYV	C	1.87	40	0.512
ECU02_1395-m1	ALPHAFOLD	7AFO	U	2.99	42	0.442
ECU02_1395-m1	ALPHAFOLD	1A92	C	2.24	36	0.505
ECU02_1395-m1	ALPHAFOLD	6PZK	C	2.13	38	0.487
ECU02_1395-m1	ALPHAFOLD	1A92	B	2.27	36	0.505
ECU02_1395-m1	RAPTORX	2RKL	E	1.77	29	0.528

### ECU02_1400
ECU02_1400-m1	ALPHAFOLD	6FUW	B	1.19	359	0.893
ECU02_1400-m1	ALPHAFOLD	6FBS	B	1.19	359	0.893
ECU02_1400-m1	ALPHAFOLD	6DNH	B	1.33	362	0.883
ECU02_1400-m1	ALPHAFOLD	6URO	B	1.28	361	0.872
ECU02_1400-m1	ALPHAFOLD	6F9N	B	1.19	345	0.897
ECU02_1400-m1	RAPTORX	6F9N	B	0.73	299	0.822
ECU02_1400-m1	RAPTORX	6FBS	B	0.59	299	0.799
ECU02_1400-m1	RAPTORX	6FUW	B	0.59	299	0.799
ECU02_1400-m1	RAPTORX	6BLY	B	1.01	301	0.800
ECU02_1400-m1	RAPTORX	6BM0	B	1.01	301	0.798

### ECU02_1410
ECU02_1410-m1	RAPTORX	3P1W	A	0.54	419	0.958
ECU02_1410-m1	RAPTORX	1LV0	A	1.06	419	0.899
ECU02_1410-m1	RAPTORX	1D5T	A	1.10	419	0.900
ECU02_1410-m1	RAPTORX	1GND	A	1.20	419	0.885
ECU02_1410-m1	RAPTORX	3CPI	G	1.20	419	0.889
ECU02_1410-m1	ALPHAFOLD	2BCG	G	1.71	409	0.742
ECU02_1410-m1	ALPHAFOLD	1UKV	G	1.76	410	0.744
ECU02_1410-m1	ALPHAFOLD	3CPJ	G	1.79	409	0.731
ECU02_1410-m1	ALPHAFOLD	1LV0	A	1.94	408	0.695
ECU02_1410-m1	ALPHAFOLD	6C87	C	1.91	408	0.701

### ECU02_1420
ECU02_1420-m1	RAPTORX	2NN6	D	1.00	184	0.919
ECU02_1420-m1	RAPTORX	2NN6	D			
ECU02_1420-m1	RAPTORX	6D6R	D	1.32	183	0.864
ECU02_1420-m1	RAPTORX	6D6R	D			
ECU02_1420-m1	RAPTORX	6D6Q	D	1.34	183	0.857
ECU02_1420-m1	RAPTORX	6D6Q	D			
ECU02_1420-m1	RAPTORX	6H25	D	1.49	185	0.868
ECU02_1420-m1	RAPTORX	6H25	D			
ECU02_1420-m1	RAPTORX	5OKZ	D	1.62	184	0.807
ECU02_1420-m1	ALPHAFOLD	6D6R	D	1.80	183	0.741
ECU02_1420-m1	ALPHAFOLD	6D6R	D			
ECU02_1420-m1	ALPHAFOLD	6D6Q	D	1.81	183	0.747
ECU02_1420-m1	ALPHAFOLD	6D6Q	D			
ECU02_1420-m1	ALPHAFOLD	6H25	D	1.86	184	0.746
ECU02_1420-m1	ALPHAFOLD	6H25	D			
ECU02_1420-m1	ALPHAFOLD	2NN6	D	2.08	183	0.710
ECU02_1420-m1	ALPHAFOLD	2NN6	D			
ECU02_1420-m1	ALPHAFOLD	5C0X	D	1.87	186	0.765

### ECU02_1430
ECU02_1430-m1	RAPTORX	5HCI	A	0.37	246	0.948
ECU02_1430-m1	RAPTORX	5HCI	D	0.41	246	0.941
ECU02_1430-m1	RAPTORX	5HCI	E	0.41	246	0.938
ECU02_1430-m1	RAPTORX	5HCI	B	0.54	246	0.937
ECU02_1430-m1	RAPTORX	5HCI	F	0.40	237	0.941
ECU02_1430-m1	ALPHAFOLD	5HCI	A	1.67	242	0.784
ECU02_1430-m1	ALPHAFOLD	5HCI	B	1.64	242	0.785
ECU02_1430-m1	ALPHAFOLD	5HCI	D	1.66	242	0.785
ECU02_1430-m1	ALPHAFOLD	5HCI	E	1.66	242	0.780
ECU02_1430-m1	ALPHAFOLD	5HCI	F	1.66	233	0.782

### ECU02_1440
ECU02_1440-m1	ALPHAFOLD	5IW7	C	2.37	453	0.576
ECU02_1440-m1	ALPHAFOLD	5IW7	A	2.35	463	0.587
ECU02_1440-m1	ALPHAFOLD	5IW7	D	2.40	423	0.567
ECU02_1440-m1	RAPTORX	5WWN	A	2.43	423	0.630
ECU02_1440-m1	ALPHAFOLD	5IW7	B	2.56	452	0.547
ECU02_1440-m1	ALPHAFOLD	6ZMT	u	2.47	461	0.562
ECU02_1440-m1	RAPTORX	5IW7	C	2.47	413	0.582
ECU02_1440-m1	RAPTORX	5IW7	A	2.44	416	0.602
ECU02_1440-m1	RAPTORX	5IW7	B	2.42	406	0.585
ECU02_1440-m1	RAPTORX	5IW7	D	2.57	391	0.571

### ECU02_1450
ECU02_1450-m1	RAPTORX	1UA2	A	0.70	282	0.960
ECU02_1450-m1	RAPTORX	1UA2	A			
ECU02_1450-m1	RAPTORX	1UA2	C	0.91	282	0.945
ECU02_1450-m1	RAPTORX	1UA2	C			
ECU02_1450-m1	RAPTORX	1UA2	B	0.93	282	0.941
ECU02_1450-m1	RAPTORX	1UA2	B			
ECU02_1450-m1	RAPTORX	1UA2	D	0.95	282	0.941
ECU02_1450-m1	RAPTORX	1UA2	D			
ECU02_1450-m1	ALPHAFOLD	7B5Q	J	1.53	291	0.860
ECU02_1450-m1	ALPHAFOLD	7B5Q	J			
ECU02_1450-m1	ALPHAFOLD	7B5O	J	1.49	290	0.857
ECU02_1450-m1	ALPHAFOLD	7B5O	J			
ECU02_1450-m1	ALPHAFOLD	6XD3	J	1.49	290	0.858
ECU02_1450-m1	ALPHAFOLD	6XD3	J			
ECU02_1450-m1	ALPHAFOLD	6XBZ	J	1.57	290	0.822
ECU02_1450-m1	ALPHAFOLD	6XBZ	J			
ECU02_1450-m1	ALPHAFOLD	7NVR	8	1.57	290	0.819
ECU02_1450-m1	ALPHAFOLD	7NVR	8			
ECU02_1450-m1	RAPTORX	2BHH	A	1.50	266	0.829
ECU02_1450-m1	RAPTORX	2BHH	A			

### ECU02_1460
ECU02_1460-m1	RAPTORX	3EFO	B	0.87	672	0.908
ECU02_1460-m1	RAPTORX	3EG9	B	0.88	672	0.909
ECU02_1460-m1	RAPTORX	5KYW	B	0.91	672	0.907
ECU02_1460-m1	RAPTORX	5KYX	B	0.93	672	0.906
ECU02_1460-m1	RAPTORX	5KYY	B	0.94	672	0.904
ECU02_1460-m1	ALPHAFOLD	3EH2	A	2.27	640	0.639
ECU02_1460-m1	ALPHAFOLD	5KYX	B	2.36	652	0.646
ECU02_1460-m1	ALPHAFOLD	5KYW	B	2.32	645	0.641
ECU02_1460-m1	ALPHAFOLD	3EFO	B	2.34	648	0.644
ECU02_1460-m1	ALPHAFOLD	3EG9	B	2.33	647	0.642

### ECU02_1470
ECU02_1470-m1	RAPTORX	5NL1	C	2.90	93	0.386
ECU02_1470-m1	RAPTORX	5NL1	D	2.86	92	0.383
ECU02_1470-m1	RAPTORX	1OED	E	3.12	87	0.398
ECU02_1470-m1	RAPTORX	5NL1	F	2.86	93	0.391
ECU02_1470-m1	RAPTORX	5NL1	B	2.86	89	0.382
ECU02_1470-m1	ALPHAFOLD	2PIH	B	2.79	81	0.430
ECU02_1470-m1	ALPHAFOLD	6PRK	B	2.94	82	0.400
ECU02_1470-m1	ALPHAFOLD	6PRH	A	3.19	85	0.418
ECU02_1470-m1	ALPHAFOLD	2D82	A	2.73	78	0.399
ECU02_1470-m1	ALPHAFOLD	6PRK	A	2.94	76	0.376

### ECU02_1480
ECU02_1480-m1	ALPHAFOLD	2D3E	C	1.80	125	0.812
ECU02_1480-m1	ALPHAFOLD	2D3E	A	1.80	125	0.812
ECU02_1480-m1	ALPHAFOLD	2QIH	B	1.92	129	0.714
ECU02_1480-m1	ALPHAFOLD	2OTO	A	1.98	128	0.708
ECU02_1480-m1	ALPHAFOLD	2B9C	B	1.87	128	0.741
ECU02_1480-m1	RAPTORX	4B2Q	t	2.22	101	0.552
ECU02_1480-m1	RAPTORX	5T4Q	J	2.39	106	0.450
ECU02_1480-m1	RAPTORX	6NF8	d	2.26	111	0.433
ECU02_1480-m1	RAPTORX	6FKF	b	2.37	107	0.452
ECU02_1480-m1	RAPTORX	6NEQ	d	2.36	111	0.423

### ECU02_1490
ECU02_1490-m1	RAPTORX	3WQY	A	2.10	678	0.609
ECU02_1490-m1	RAPTORX	3WQY	A			
ECU02_1490-m1	RAPTORX	3WQZ	A	2.35	690	0.593
ECU02_1490-m1	RAPTORX	3WQZ	A			
ECU02_1490-m1	RAPTORX	2ZTG	A	1.89	562	0.636
ECU02_1490-m1	RAPTORX	2ZTG	A			
ECU02_1490-m1	RAPTORX	2ZZG	A	1.88	574	0.626
ECU02_1490-m1	RAPTORX	2ZZG	A			
ECU02_1490-m1	RAPTORX	2ZZG	B	1.94	574	0.622
ECU02_1490-m1	RAPTORX	2ZZG	B			
ECU02_1490-m1	ALPHAFOLD	2ZZE	B	2.80	365	0.372
ECU02_1490-m1	ALPHAFOLD	2ZZE	B			
ECU02_1490-m1	ALPHAFOLD	2ZTG	A	2.68	369	0.347
ECU02_1490-m1	ALPHAFOLD	2ZTG	A			
ECU02_1490-m1	ALPHAFOLD	2ZZF	A	2.42	357	0.370
ECU02_1490-m1	ALPHAFOLD	2ZZF	A			
ECU02_1490-m1	ALPHAFOLD	2ZZG	A	2.84	381	0.356
ECU02_1490-m1	ALPHAFOLD	2ZZG	A			
ECU02_1490-m1	ALPHAFOLD	2ZZG	B	2.79	377	0.357
ECU02_1490-m1	ALPHAFOLD	2ZZG	B			

### ECU02_1500
ECU02_1500-m1	ALPHAFOLD	1H3O	B	0.93	66	0.884
ECU02_1500-m1	ALPHAFOLD	1H3O	D	0.95	66	0.884
ECU02_1500-m1	ALPHAFOLD	7EGI	L	1.11	70	0.859
ECU02_1500-m1	ALPHAFOLD	7EGG	L	1.11	70	0.859
ECU02_1500-m1	ALPHAFOLD	7EGD	L	1.11	70	0.859
ECU02_1500-m1	RAPTORX	3KXB	B	2.65	63	0.605
ECU02_1500-m1	RAPTORX	6MZD	Q	2.27	60	0.561
ECU02_1500-m1	RAPTORX	6MZL	Q	2.27	60	0.561
ECU02_1500-m1	RAPTORX	6L49	X	2.64	63	0.609
ECU02_1500-m1	RAPTORX	6MZC	R	2.49	62	0.564

### ECU02_1510
ECU02_1510-m1	RAPTORX	4RV1	A	1.05	323	0.800
ECU02_1510-m1	RAPTORX	4RV1	F	1.10	323	0.788
ECU02_1510-m1	RAPTORX	4RV1	C	1.10	323	0.790
ECU02_1510-m1	RAPTORX	4RV1	B	1.09	323	0.791
ECU02_1510-m1	RAPTORX	4RV1	D	1.11	323	0.784
ECU02_1510-m1	ALPHAFOLD	3ZIL	A	3.27	271	0.393
ECU02_1510-m1	ALPHAFOLD	3ZIK	B	3.28	250	0.376
ECU02_1510-m1	ALPHAFOLD	3T7U	B	3.23	233	0.417
ECU02_1510-m1	ALPHAFOLD	3QHE	A	3.39	241	0.402
ECU02_1510-m1	ALPHAFOLD	5IZ9	A	3.14	233	0.398

### ECU02_1520
ECU02_1520-m1	RAPTORX	6UV1	B	0.78	373	0.855
ECU02_1520-m1	RAPTORX	6UV1	A	0.77	373	0.856
ECU02_1520-m1	RAPTORX	6UV4	A	0.90	371	0.839
ECU02_1520-m1	RAPTORX	6UV3	A	0.85	370	0.831
ECU02_1520-m1	RAPTORX	6UV2	A	0.82	370	0.835
ECU02_1520-m1	ALPHAFOLD	3FHT	B	2.07	365	0.679
ECU02_1520-m1	ALPHAFOLD	3FHT	A	2.08	368	0.677
ECU02_1520-m1	ALPHAFOLD	3G0H	A	2.16	376	0.635
ECU02_1520-m1	ALPHAFOLD	5ZC9	A	2.01	354	0.675
ECU02_1520-m1	ALPHAFOLD	6ICZ	u	2.13	362	0.651

### ECU02_1530
ECU02_1530-m1	RAPTORX	2YMU	A	1.42	526	0.736
ECU02_1530-m1	RAPTORX	2YMU	B	1.66	526	0.685
ECU02_1530-m1	RAPTORX	1PEV	A	3.11	503	0.452
ECU02_1530-m1	ALPHAFOLD	6ND4	Q	2.79	561	0.509
ECU02_1530-m1	RAPTORX	1NR0	A	3.18	504	0.443
ECU02_1530-m1	RAPTORX	5H3U	B	3.17	493	0.412
ECU02_1530-m1	ALPHAFOLD	5TZS	Q	2.83	404	0.343
ECU02_1530-m1	ALPHAFOLD	5JPQ	I	3.60	424	0.338
ECU02_1530-m1	ALPHAFOLD	4NSX	A	3.60	424	0.338
ECU02_1530-m1	ALPHAFOLD	5TZS	T	3.42	430	0.326

### ECU02_1540
ECU02_1540-m1	RAPTORX	1CII	A	2.70	368	0.390

### ECU02_1550
ECU02_1550-m1	RAPTORX	6G2J	N	2.06	198	0.527
ECU02_1550-m1	RAPTORX	5XTD	i	2.17	199	0.536
ECU02_1550-m1	RAPTORX	5XTC	i	2.17	199	0.536
ECU02_1550-m1	RAPTORX	6G72	N	2.03	197	0.514
ECU02_1550-m1	RAPTORX	4UQ8	N	2.13	194	0.495
ECU02_1550-m1	ALPHAFOLD	3MAC	A	3.44	134	0.367
ECU02_1550-m1	ALPHAFOLD	3MA9	A	3.38	132	0.349
ECU02_1550-m1	ALPHAFOLD	1R0D	I	3.20	124	0.388
ECU02_1550-m1	ALPHAFOLD	1R0D	A	3.23	125	0.394
ECU02_1550-m1	ALPHAFOLD	3O3X	A	3.59	133	0.351

### ECU02_1560
ECU02_1560-m1	RAPTORX	4U3J	C	2.81	206	0.517
ECU02_1560-m1	RAPTORX	2QK1	A	2.85	204	0.511
ECU02_1560-m1	RAPTORX	6MQ7	B	2.94	209	0.507
ECU02_1560-m1	RAPTORX	3WOY	A	2.91	207	0.504
ECU02_1560-m1	RAPTORX	4K92	B	2.99	201	0.493

### ECU02_1570
ECU02_1570-m1	RAPTORX	6G2J	N	2.25	183	0.515
ECU02_1570-m1	RAPTORX	5LUF	N	2.38	180	0.500
ECU02_1570-m1	RAPTORX	4UQ8	N	2.38	180	0.500
ECU02_1570-m1	RAPTORX	5LNK	N	2.18	182	0.508
ECU02_1570-m1	RAPTORX	6G72	N	2.32	182	0.510
ECU02_1570-m1	ALPHAFOLD	4CBE	A	3.36	129	0.348
ECU02_1570-m1	ALPHAFOLD	6ATG	C	3.34	128	0.341
ECU02_1570-m1	ALPHAFOLD	6ATG	B	3.29	127	0.334
ECU02_1570-m1	ALPHAFOLD	6H53	A	3.40	118	0.349
ECU02_1570-m1	ALPHAFOLD	6H53	B	3.33	119	0.361

### ECU02_1580
ECU02_1580-m1	ALPHAFOLD	7NMM	C	2.86	67	0.506
ECU02_1580-m1	ALPHAFOLD	7NMM	E	2.83	67	0.510
ECU02_1580-m1	ALPHAFOLD	7NMM	G	2.84	67	0.510
ECU02_1580-m1	ALPHAFOLD	7BNT	A	3.28	66	0.511
ECU02_1580-m1	ALPHAFOLD	1P8G	A	3.61	93	0.493
ECU02_1580-m1	RAPTORX	3ZIG	B	2.74	55	0.401
ECU02_1580-m1	RAPTORX	4ADZ	B	3.13	60	0.383
ECU02_1580-m1	RAPTORX	2MME	b	3.29	77	0.416
ECU02_1580-m1	RAPTORX	2MME	G	3.07	75	0.406
ECU02_1580-m1	RAPTORX	2MME	Y	3.30	77	0.418

### ECU03_0010
ECU03_0010-m1	RAPTORX	4ESQ	A	3.02	120	0.397
ECU03_0010-m1	RAPTORX	3HLZ	A	2.94	124	0.309
ECU03_0010-m1	RAPTORX	3HLZ	B	2.93	123	0.300
ECU03_0010-m1	RAPTORX	1LN1	A	3.07	106	0.324
ECU03_0010-m1	RAPTORX	1LN3	B	3.03	103	0.327

### ECU03_0020
ECU03_0020-m1	ALPHAFOLD	4DZU	A	3.13	126	0.371
ECU03_0020-m1	ALPHAFOLD	4DZV	A	3.25	130	0.376
ECU03_0020-m1	ALPHAFOLD	4BG0	A	2.77	126	0.365
ECU03_0020-m1	ALPHAFOLD	3O3X	A	3.25	130	0.350
ECU03_0020-m1	ALPHAFOLD	3MAC	A	3.38	132	0.377
ECU03_0020-m1	RAPTORX	2V0X	A	3.10	114	0.345
ECU03_0020-m1	RAPTORX	1T72	G	3.60	116	0.325
ECU03_0020-m1	RAPTORX	1T72	F	3.17	114	0.322
ECU03_0020-m1	RAPTORX	2V0X	B	3.27	115	0.302
ECU03_0020-m1	RAPTORX	1T8B	A	3.41	124	0.331

### ECU03_0030
ECU03_0030-m1	ALPHAFOLD	4UDE	A	2.89	74	0.526
ECU03_0030-m1	ALPHAFOLD	1BAX	A	3.17	81	0.476
ECU03_0030-m1	ALPHAFOLD	1A6S	A	3.09	94	0.462
ECU03_0030-m1	ALPHAFOLD	5KZA	A	2.84	77	0.479
ECU03_0030-m1	ALPHAFOLD	5I27	B	2.85	73	0.535
ECU03_0030-m1	RAPTORX	4AFL	D	2.01	62	0.506
ECU03_0030-m1	RAPTORX	5O31	A	1.52	58	0.514
ECU03_0030-m1	RAPTORX	3TXQ	J	2.28	60	0.468
ECU03_0030-m1	RAPTORX	3TXQ	E	2.28	60	0.474
ECU03_0030-m1	RAPTORX	3TXQ	I	2.45	63	0.466

### ECU03_0040
ECU03_0040-m1	RAPTORX	6G2J	N	2.11	197	0.546
ECU03_0040-m1	RAPTORX	6G72	N	2.12	197	0.543
ECU03_0040-m1	RAPTORX	5XTC	i	2.15	196	0.533
ECU03_0040-m1	RAPTORX	5XTD	i	2.15	196	0.533
ECU03_0040-m1	RAPTORX	5LNK	N	2.20	197	0.527
ECU03_0040-m1	ALPHAFOLD	2JSW	A	3.27	166	0.356
ECU03_0040-m1	ALPHAFOLD	1R0D	H	2.98	122	0.407
ECU03_0040-m1	ALPHAFOLD	1R0D	G	3.05	122	0.399
ECU03_0040-m1	ALPHAFOLD	1R0D	I	3.11	123	0.397
ECU03_0040-m1	ALPHAFOLD	1R0D	E	3.17	126	0.409

### ECU03_0050
ECU03_0050-m1	RAPTORX	1CII	A	2.78	334	0.502
ECU03_0050-m1	RAPTORX	6EL1	T	2.96	232	0.392
ECU03_0050-m1	RAPTORX	6EL1	K	2.96	232	0.392
ECU03_0050-m1	RAPTORX	6EL1	L	2.96	232	0.392
ECU03_0050-m1	RAPTORX	6EL1	M	2.96	232	0.392
ECU03_0050-m1	ALPHAFOLD	1QOY	A	2.98	158	0.304
ECU03_0050-m1	ALPHAFOLD	4PHQ	C	3.18	151	0.302

### ECU03_0060
ECU03_0060-m1	ALPHAFOLD	4JQ5	L	1.97	79	0.735
ECU03_0060-m1	ALPHAFOLD	2OSZ	D	2.00	79	0.718
ECU03_0060-m1	ALPHAFOLD	4JQ5	J	1.97	79	0.738
ECU03_0060-m1	ALPHAFOLD	4JQ5	F	1.95	79	0.738
ECU03_0060-m1	ALPHAFOLD	4JQ5	I	1.96	79	0.738
ECU03_0060-m1	RAPTORX	5LNK	K	1.90	72	0.637
ECU03_0060-m1	RAPTORX	4HE8	E	2.02	73	0.579
ECU03_0060-m1	RAPTORX	4HE8	K	2.03	73	0.579
ECU03_0060-m1	RAPTORX	4HEA	K	2.05	73	0.571
ECU03_0060-m1	RAPTORX	4HEA	S	2.05	73	0.574

### ECU03_0070
ECU03_0070-m1	ALPHAFOLD	5GO2	B	2.47	77	0.580
ECU03_0070-m1	ALPHAFOLD	5GO2	C	2.55	76	0.580
ECU03_0070-m1	ALPHAFOLD	5GO2	D	2.54	76	0.569
ECU03_0070-m1	ALPHAFOLD	5GMU	A	2.50	74	0.583
ECU03_0070-m1	ALPHAFOLD	3RMI	A	2.60	85	0.527
ECU03_0070-m1	RAPTORX	1WR6	D	3.16	70	0.494
ECU03_0070-m1	RAPTORX	3WHL	D	2.81	66	0.457
ECU03_0070-m1	RAPTORX	2MTQ	A	3.00	82	0.481
ECU03_0070-m1	RAPTORX	3WHL	B	2.96	67	0.459
ECU03_0070-m1	RAPTORX	4U7I	A	2.43	62	0.438

### ECU03_0080
ECU03_0080-m1	ALPHAFOLD	6Z35	A	2.24	84	0.551
ECU03_0080-m1	ALPHAFOLD	3U8V	B	2.35	65	0.557
ECU03_0080-m1	ALPHAFOLD	3U8V	A	2.27	65	0.557
ECU03_0080-m1	ALPHAFOLD	1SR2	A	2.42	81	0.532
ECU03_0080-m1	ALPHAFOLD	2OOC	A	2.79	76	0.466
ECU03_0080-m1	RAPTORX	5VSO	A	3.09	64	0.380
ECU03_0080-m1	RAPTORX	6H86	B	2.68	50	0.454
ECU03_0080-m1	RAPTORX	6IWS	A	3.10	61	0.350
ECU03_0080-m1	RAPTORX	6H86	A	2.67	50	0.447
ECU03_0080-m1	RAPTORX	2LO1	A	2.57	56	0.346

### ECU03_0100
ECU03_0100-m1	RAPTORX	4ZWG	C	1.69	422	0.762
ECU03_0100-m1	RAPTORX	5YHW	H	1.27	360	0.827
ECU03_0100-m1	RAPTORX	5YHW	G	1.25	359	0.830
ECU03_0100-m1	RAPTORX	5YHW	B	1.62	408	0.762
ECU03_0100-m1	RAPTORX	5YHW	C	1.62	408	0.759
ECU03_0100-m1	ALPHAFOLD	7A5Y	D	2.18	409	0.664
ECU03_0100-m1	ALPHAFOLD	7A5Y	H	2.16	406	0.671
ECU03_0100-m1	ALPHAFOLD	7A5Y	B	2.17	408	0.663
ECU03_0100-m1	ALPHAFOLD	7A5Y	F	2.19	410	0.665
ECU03_0100-m1	ALPHAFOLD	4ZWG	B	2.20	411	0.657

### ECU03_0110
ECU03_0110-m1	ALPHAFOLD	2JSW	A	2.97	156	0.349
ECU03_0110-m1	ALPHAFOLD	1R0D	E	2.89	124	0.409
ECU03_0110-m1	ALPHAFOLD	3MAC	A	3.51	129	0.392
ECU03_0110-m1	ALPHAFOLD	1R0D	I	3.04	124	0.396
ECU03_0110-m1	ALPHAFOLD	3MA9	A	3.53	132	0.358
ECU03_0110-m1	RAPTORX	2V0X	A	2.92	115	0.350
ECU03_0110-m1	RAPTORX	2J0N	B	3.27	121	0.373
ECU03_0110-m1	RAPTORX	2YM0	A	3.04	119	0.372
ECU03_0110-m1	RAPTORX	3R9V	A	3.15	119	0.365
ECU03_0110-m1	RAPTORX	2V0X	B	3.05	116	0.327

### ECU03_0120
ECU03_0120-m1	ALPHAFOLD	1R0D	I	2.81	117	0.385
ECU03_0120-m1	ALPHAFOLD	1R0D	A	2.81	118	0.368
ECU03_0120-m1	ALPHAFOLD	6O7T	c	3.20	123	0.337
ECU03_0120-m1	RAPTORX	2V0X	A	3.06	115	0.323
ECU03_0120-m1	RAPTORX	2YM0	B	2.97	118	0.372
ECU03_0120-m1	RAPTORX	2YM0	A	2.97	118	0.374
ECU03_0120-m1	RAPTORX	3R9V	A	3.04	117	0.366
ECU03_0120-m1	ALPHAFOLD	6M0S	C	3.23	119	0.316
ECU03_0120-m1	ALPHAFOLD	6M0R	C	3.23	121	0.318
ECU03_0120-m1	RAPTORX	2V0X	B	3.01	104	0.312

### ECU03_0130
ECU03_0130-m1	RAPTORX	5XTD	i	1.95	209	0.590
ECU03_0130-m1	RAPTORX	5XTC	i	1.95	209	0.590
ECU03_0130-m1	RAPTORX	5O31	N	1.90	207	0.578
ECU03_0130-m1	RAPTORX	5LNK	N	1.94	208	0.569
