### Query	Predictor	RCSB Code	Chain	sTMscore	TMscore	Dali_Z	SPscore	Length	RMSD	Seq_Id

### ECU01_0010
ECU03_0110-m1	RAPTORX	3R9V	A	0.404	0.323	3.81	0.445	112	3.558	8.9
ECU03_0110-m1	RAPTORX	2V0X	B	0.374	0.326	2.89	0.398	122	3.910	8.2

### ECU03_0120
ECU03_0120-m1	ALPHAFOLD	1R0D	I	0.441	0.321	4.26	0.435	124	3.869	9.7
ECU03_0120-m1	ALPHAFOLD	1R0D	A	0.445	0.325	4.48	0.441	124	3.772	9.7
ECU03_0120-m1	ALPHAFOLD	6O7T	c	0.456	0.346	3.44	0.425	146	4.604	8.2
ECU03_0120-m1	RAPTORX	2V0X	A	0.361	0.284	0.86	0.377	114	4.294	4.4
ECU03_0120-m1	RAPTORX	2YM0	B	0.415	0.328	3.82	0.455	120	3.706	6.7
ECU03_0120-m1	RAPTORX	2YM0	A	0.420	0.327	3.73	0.454	120	3.740	6.7
ECU03_0120-m1	RAPTORX	3R9V	A	0.418	0.327	3.71	0.462	120	3.647	9.2
ECU03_0120-m1	ALPHAFOLD	6M0S	C	0.438	0.333	3.61	0.406	140	4.519	7.1
ECU03_0120-m1	ALPHAFOLD	6M0R	C	0.440	0.337	3.51	0.409	142	4.578	8.5
ECU03_0120-m1	RAPTORX	2V0X	B	0.384	0.320	2.21	0.409	126	4.001	4.8

### ECU03_0130
ECU03_0130-m1	RAPTORX	5XTD	i	0.665	0.709	19.34	0.836	206	1.970	13.6
ECU03_0130-m1	RAPTORX	5XTC	i	0.665	0.709	19.34	0.836	206	1.970	13.6
ECU03_0130-m1	RAPTORX	5O31	N	0.667	0.703	18.23	0.825	206	2.166	14.1
ECU03_0130-m1	RAPTORX	5LNK	N	0.668	0.713	20.39	0.845	207	1.969	13.0
ECU03_0130-m1	RAPTORX	6G2J	N	0.663	0.704	18.71	0.823	207	2.145	11.1
ECU03_0130-m1	ALPHAFOLD	1R0D	H	0.457	0.348	3.67	0.426	136	4.232	2.9
ECU03_0130-m1	ALPHAFOLD	1R0D	E	0.456	0.349	3.66	0.433	135	4.110	3.0
ECU03_0130-m1	ALPHAFOLD	1R0D	B	0.460	0.349	3.70	0.430	136	4.159	2.9
ECU03_0130-m1	ALPHAFOLD	2YM9	C	0.430	0.382	3.70	0.492	132	4.030	3.8
ECU03_0130-m1	ALPHAFOLD	1R0D	G	0.454	0.346	3.57	0.426	135	4.142	3.0

### ECU03_0150
ECU03_0150-m1	RAPTORX	6QSK	A	0.924	0.947	42.10	1.337	284	1.215	29.9
ECU03_0150-m1	RAPTORX	6QSK	D	0.928	0.951	42.20	1.340	285	1.174	30.2
ECU03_0150-m1	RAPTORX	6QSK	C	0.925	0.951	42.27	1.338	285	1.191	30.2
ECU03_0150-m1	RAPTORX	6QSK	F	0.925	0.948	42.14	1.333	284	1.151	30.3
ECU03_0150-m1	RAPTORX	6QSK	H	0.925	0.948	41.99	1.333	284	1.146	30.3
ECU03_0150-m1	ALPHAFOLD	5OGK	D	0.823	0.863	33.22	1.063	284	2.674	30.6
ECU03_0150-m1	ALPHAFOLD	5OGK	A	0.822	0.862	33.15	1.057	285	2.789	30.5
ECU03_0150-m1	ALPHAFOLD	5OGK	C	0.824	0.862	33.17	1.057	284	2.677	30.6
ECU03_0150-m1	ALPHAFOLD	6QSK	D	0.823	0.865	33.13	1.056	286	2.797	30.4
ECU03_0150-m1	ALPHAFOLD	5OGK	F	0.825	0.864	33.18	1.062	285	2.766	30.5

### ECU03_0160
ECU03_0160-m1	RAPTORX	5NNV	A	0.688	0.568	10.27	0.787	198	3.130	11.1
ECU03_0160-m1	RAPTORX	5NNV	C	0.679	0.570	10.71	0.768	203	3.377	13.3
ECU03_0160-m1	RAPTORX	5XG2	A	0.672	0.568	13.13	0.737	203	3.401	10.3
ECU03_0160-m1	RAPTORX	6EWY	A	0.683	0.498	8.66	0.760	177	3.147	9.0
ECU03_0160-m1	RAPTORX	5NNV	B	0.673	0.551	10.87	0.720	203	3.556	7.9
ECU03_0160-m1	ALPHAFOLD	6L5J	C	0.599	0.443	5.00	0.709	160	3.293	9.4
ECU03_0160-m1	ALPHAFOLD	6L5J	A	0.585	0.429	4.92	0.684	156	3.077	12.2
ECU03_0160-m1	ALPHAFOLD	6IRB	A	0.519	0.392	3.07	0.675	130	2.425	3.1
ECU03_0160-m1	ALPHAFOLD	6IRB	B	0.521	0.382	3.07	0.627	133	3.023	9.8
ECU03_0160-m1	ALPHAFOLD	2TMA	B	0.502	0.508	5.13	0.801	166	2.653	11.4

### ECU03_0170
ECU03_0170-m1	RAPTORX	6HUM	D	0.513	0.560	19.51	0.856	283	2.549	7.4
ECU03_0170-m1	RAPTORX	6HUM	B	0.511	0.545	20.17	0.831	277	2.639	10.1
ECU03_0170-m1	RAPTORX	6RFS	4	0.513	0.545	18.63	0.842	276	2.586	9.8
ECU03_0170-m1	RAPTORX	3RKO	M	0.523	0.561	20.03	0.850	284	2.650	7.4
ECU03_0170-m1	RAPTORX	3RKO	C	0.523	0.561	20.04	0.850	284	2.650	7.4

### ECU03_0180
ECU03_0180-m1	ALPHAFOLD	4LD6	A	0.295	0.318	-0.48	0.335	84	4.611	11.9
ECU03_0180-m1	ALPHAFOLD	1FS1	B	0.276	0.235	0.25	0.295	56	3.696	5.4
ECU03_0180-m1	ALPHAFOLD	4EDA	D	0.175	0.154	-1.11	0.273	33	3.210	6.1
ECU03_0180-m1	ALPHAFOLD	6CB1	M	0.293	0.310	0.05	0.365	74	4.146	8.1
ECU03_0180-m1	ALPHAFOLD	6C0F	M	0.293	0.310	0.05	0.365	74	4.146	8.1
ECU03_0180-m1	RAPTORX	2FJ8	A	0.247	0.219	-1.17	0.242	62	5.338	4.8
ECU03_0180-m1	RAPTORX	1C2A	A	0.243	0.218	-1.28	0.248	60	4.909	3.3
ECU03_0180-m1	RAPTORX	5LYN	A	0.191	0.211	-2.17	0.208	61	5.019	3.3
ECU03_0180-m1	RAPTORX	5LYN	B	0.169	0.165	-1.68	0.165	47	5.218	2.1
ECU03_0180-m1	RAPTORX	5L0Y	F	0.177	0.209	-1.26	0.208	57	4.795	1.8

### ECU03_0200
ECU03_0200-m1	RAPTORX	3RCM	A	0.850	0.897	40.83	1.267	248	0.802	25.8
ECU03_0200-m1	RAPTORX	4PE8	A	0.857	0.875	37.77	1.221	247	1.187	33.6
ECU03_0200-m1	RAPTORX	4P5U	A	0.868	0.878	37.55	1.216	249	1.316	32.9
ECU03_0200-m1	RAPTORX	1XWY	A	0.841	0.862	36.68	1.182	247	1.485	33.6
ECU03_0200-m1	ALPHAFOLD	2XIO	A	0.832	0.908	35.23	1.131	263	1.772	38.4
ECU03_0200-m1	ALPHAFOLD	4PE8	A	0.830	0.851	34.46	1.148	247	1.897	33.6
ECU03_0200-m1	ALPHAFOLD	4P5U	A	0.826	0.850	34.13	1.142	247	1.874	34.0
ECU03_0200-m1	ALPHAFOLD	1XWY	A	0.832	0.842	33.09	1.126	247	1.948	34.4
ECU03_0200-m1	RAPTORX	2GZX	A	0.782	0.801	30.29	1.094	235	1.870	28.1
ECU03_0200-m1	ALPHAFOLD	2GZX	A	0.793	0.801	29.57	1.070	237	2.055	28.7

### ECU03_0210
ECU03_0210-m1	RAPTORX	2YZG	B	0.380	0.420	5.05	0.520	123	3.236	7.3
ECU03_0210-m1	RAPTORX	2YZM	B	0.390	0.429	5.48	0.529	125	3.223	8.0
ECU03_0210-m1	RAPTORX	2ZDG	C	0.389	0.436	5.47	0.500	129	3.406	7.0
ECU03_0210-m1	RAPTORX	2YZN	C	0.385	0.423	5.24	0.494	125	3.406	6.4
ECU03_0210-m1	RAPTORX	2YZG	C	0.371	0.413	4.94	0.469	126	3.804	7.1

### ECU03_0220
ECU03_0220-m1	RAPTORX	4XCD	A	0.969	0.929	50.54	1.638	506	0.829	33.0
ECU03_0220-m1	RAPTORX	4XCD	F	0.968	0.916	51.05	1.630	499	0.826	33.5
ECU03_0220-m1	RAPTORX	4XCD	B	0.971	0.917	50.95	1.632	499	0.763	33.3
ECU03_0220-m1	RAPTORX	4XCD	D	0.967	0.922	50.84	1.636	502	0.783	33.5
ECU03_0220-m1	RAPTORX	4XCD	C	0.962	0.920	49.93	1.602	504	1.056	33.3
ECU03_0220-m1	ALPHAFOLD	3KO1	E	0.908	0.895	40.50	1.435	503	1.749	36.0
ECU03_0220-m1	ALPHAFOLD	3KO1	F	0.908	0.895	40.50	1.435	503	1.749	36.0
ECU03_0220-m1	ALPHAFOLD	3KO1	A	0.908	0.895	40.50	1.435	503	1.749	36.0
ECU03_0220-m1	ALPHAFOLD	3KO1	B	0.908	0.895	40.50	1.435	503	1.749	36.0
ECU03_0220-m1	ALPHAFOLD	3KO1	C	0.908	0.895	40.50	1.435	503	1.749	36.0

### ECU03_0230
ECU03_0230-m1	ALPHAFOLD	6EM5	d	0.804	0.816	15.36	0.883	104	1.936	24.0
ECU03_0230-m1	RAPTORX	6EM5	d	0.778	0.814	15.04	0.881	104	1.789	24.0
ECU03_0230-m1	RAPTORX	4V7F	c	0.772	0.816	15.12	0.871	106	2.066	23.6
ECU03_0230-m1	ALPHAFOLD	4V7F	c	0.800	0.821	15.12	0.873	106	2.100	23.6
ECU03_0230-m1	ALPHAFOLD	3OW2	W	0.783	0.632	11.62	0.773	81	1.531	25.9
ECU03_0230-m1	ALPHAFOLD	1NJI	Y	0.777	0.632	11.73	0.773	81	1.521	25.9
ECU03_0230-m1	ALPHAFOLD	1JJ2	W	0.776	0.631	11.72	0.772	81	1.526	25.9
ECU03_0230-m1	RAPTORX	1S72	X	0.718	0.617	10.72	0.761	81	1.629	24.7
ECU03_0230-m1	RAPTORX	3CCE	X	0.725	0.617	10.75	0.761	81	1.637	24.7
ECU03_0230-m1	RAPTORX	2OTL	X	0.724	0.617	10.67	0.761	81	1.648	24.7

### ECU03_0240
ECU03_0240-m1	ALPHAFOLD	5OCH	F	0.831	0.839	24.40	1.102	548	3.171	18.8
ECU03_0240-m1	ALPHAFOLD	5OCH	G	0.830	0.814	24.51	1.086	536	3.318	19.2
ECU03_0240-m1	ALPHAFOLD	5OCH	D	0.831	0.837	24.76	1.101	547	3.199	18.8
ECU03_0240-m1	ALPHAFOLD	5OCH	H	0.833	0.810	24.35	1.086	531	3.211	19.2
ECU03_0240-m1	ALPHAFOLD	6PAQ	B	0.831	0.818	24.61	1.055	540	3.283	23.1
ECU03_0240-m1	RAPTORX	5OCH	C	0.466	0.451	16.13	0.982	281	2.512	25.6
ECU03_0240-m1	RAPTORX	5OCH	G	0.457	0.456	15.28	0.937	288	2.900	25.0
ECU03_0240-m1	RAPTORX	5OCH	A	0.458	0.457	15.80	0.948	288	2.863	25.0
ECU03_0240-m1	RAPTORX	5OCH	B	0.436	0.453	15.51	1.079	280	2.387	25.0
ECU03_0240-m1	RAPTORX	5OCH	H	0.446	0.445	15.34	0.936	279	2.757	25.8

### ECU03_0250
ECU03_0250-m1	ALPHAFOLD	4K5Y	C	0.607	0.580	11.81	0.621	205	3.849	7.3
ECU03_0250-m1	ALPHAFOLD	6KRZ	C	0.628	0.655	13.54	0.641	233	4.296	7.3
ECU03_0250-m1	ALPHAFOLD	6GDG	A	0.588	0.613	11.83	0.619	214	3.714	11.2
ECU03_0250-m1	ALPHAFOLD	6KRZ	A	0.614	0.647	13.65	0.627	231	4.333	7.4
ECU03_0250-m1	ALPHAFOLD	6KRZ	B	0.611	0.640	13.02	0.616	230	4.313	7.0
ECU03_0250-m1	RAPTORX	6G72	H	0.494	0.532	8.60	0.551	183	3.877	9.3
ECU03_0250-m1	RAPTORX	6CFW	M	0.499	0.533	7.29	0.538	184	3.711	7.1
ECU03_0250-m1	RAPTORX	5XTC	s	0.505	0.545	8.67	0.549	189	3.878	9.5
ECU03_0250-m1	RAPTORX	5XTD	s	0.505	0.545	8.67	0.549	189	3.878	9.5
ECU03_0250-m1	RAPTORX	6G2J	H	0.499	0.541	8.36	0.537	189	3.893	9.0

### ECU03_0260
ECU03_0260-m1	RAPTORX	1YWM	A	0.528	0.566	7.15	0.635	82	1.819	12.2
ECU03_0260-m1	RAPTORX	2O0I	1	0.532	0.571	6.62	0.629	83	1.967	12.0
ECU03_0260-m1	ALPHAFOLD	6F64	A	0.419	0.319	1.21	0.665	46	1.809	6.5
ECU03_0260-m1	ALPHAFOLD	4YTO	A	0.449	0.345	1.27	0.560	59	2.638	11.9
ECU03_0260-m1	ALPHAFOLD	6F63	D	0.428	0.327	1.18	0.523	60	3.150	11.7
ECU03_0260-m1	ALPHAFOLD	6F63	B	0.414	0.308	1.24	0.637	46	1.969	6.5
ECU03_0260-m1	ALPHAFOLD	6F63	C	0.410	0.315	1.13	0.660	46	1.863	6.5
ECU03_0260-m1	RAPTORX	5J0L	D	0.403	0.385	3.03	0.553	65	2.461	7.7
ECU03_0260-m1	RAPTORX	5J0L	E	0.404	0.366	3.44	0.497	64	2.869	9.4
ECU03_0260-m1	RAPTORX	5J0L	F	0.407	0.356	3.13	0.494	64	3.009	9.4

### ECU03_0270
ECU03_0270-m1	ALPHAFOLD	5A1X	E	0.637	0.510	10.34	0.696	475	4.234	21.7
ECU03_0270-m1	ALPHAFOLD	5A1W	E	0.637	0.510	10.34	0.696	475	4.234	21.7
ECU03_0270-m1	ALPHAFOLD	5A1Y	M	0.637	0.510	10.34	0.696	475	4.234	21.7
ECU03_0270-m1	ALPHAFOLD	5NZT	G	0.530	0.585	2.36	0.590	545	4.894	18.9
ECU03_0270-m1	ALPHAFOLD	5NZR	G	0.530	0.585	6.58	0.590	545	4.894	18.9
ECU03_0270-m1	RAPTORX	5A1Y	M	0.637	0.478	23.78	0.462	494	5.374	25.7
ECU03_0270-m1	RAPTORX	5A1W	E	0.637	0.478	23.78	0.462	494	5.374	25.7
ECU03_0270-m1	RAPTORX	5A1X	E	0.637	0.478	23.78	0.462	494	5.374	25.7
ECU03_0270-m1	RAPTORX	6CM9	B	0.545	0.458	6.22	0.476	457	5.077	10.9
ECU03_0270-m1	RAPTORX	6QH5	B	0.538	0.467	7.21	0.486	466	5.145	11.4

### ECU03_0280
ECU03_0280-m1	RAPTORX	2I5K	A	0.947	0.920	54.40	1.602	456	0.757	50.7
ECU03_0280-m1	RAPTORX	2I5K	B	0.917	0.906	50.43	1.520	455	1.234	50.8
ECU03_0280-m1	ALPHAFOLD	1Z90	A	0.906	0.891	48.78	1.496	448	1.213	47.5
ECU03_0280-m1	ALPHAFOLD	2I5K	B	0.887	0.896	47.65	1.485	453	1.449	51.2
ECU03_0280-m1	RAPTORX	4R7P	A	0.869	0.910	46.15	1.472	461	1.493	51.4
ECU03_0280-m1	ALPHAFOLD	5WEG	B	0.924	0.880	48.28	1.466	445	1.443	48.3
ECU03_0280-m1	ALPHAFOLD	4R7P	B	0.883	0.915	46.40	1.488	462	1.371	51.1
ECU03_0280-m1	ALPHAFOLD	1Z90	B	0.903	0.881	48.36	1.477	444	1.255	48.0
ECU03_0280-m1	RAPTORX	5WEG	B	0.909	0.873	47.80	1.460	441	1.375	48.3
ECU03_0280-m1	RAPTORX	5WEG	A	0.908	0.877	47.27	1.464	443	1.396	47.4

### ECU03_0290
ECU03_0290-m1	ALPHAFOLD	7O4J	A	0.884	0.830	31.06	1.994	1355	1.620	50.0
ECU03_0290-m1	ALPHAFOLD	7O72	A	0.886	0.829	30.96	1.990	1354	1.591	50.2
ECU03_0290-m1	ALPHAFOLD	7O75	A	0.886	0.829	30.94	1.987	1355	1.645	50.0
ECU03_0290-m1	ALPHAFOLD	7O4I	A	0.887	0.829	30.94	1.986	1355	1.617	50.1
ECU03_0290-m1	ALPHAFOLD	7O73	A	0.890	0.829	30.76	1.978	1355	1.659	50.0
ECU03_0290-m1	RAPTORX	6GML	A	0.904	0.812	35.85	1.875	1337	1.852	49.7
ECU03_0290-m1	RAPTORX	5OIK	A	0.868	0.809	32.04	1.822	1341	2.057	49.0
ECU03_0290-m1	RAPTORX	5FLM	A	0.866	0.812	31.92	1.808	1348	2.134	49.4
ECU03_0290-m1	RAPTORX	6GMH	A	0.864	0.807	32.13	1.802	1338	2.076	49.4
ECU03_0290-m1	RAPTORX	3RZO	A	0.853	0.795	29.87	1.741	1328	2.288	49.6

### ECU03_0300
ECU03_0300-m1	RAPTORX	6F07	D	0.827	0.804	18.44	0.955	135	1.908	23.0
ECU03_0300-m1	RAPTORX	6GYU	D	0.772	0.809	15.72	0.896	143	2.720	23.1
ECU03_0300-m1	RAPTORX	6P7V	D	0.857	0.737	16.03	0.947	120	1.209	22.5
ECU03_0300-m1	RAPTORX	6GYP	D	0.761	0.805	15.84	0.891	143	2.760	23.1
ECU03_0300-m1	RAPTORX	6P7X	D	0.850	0.731	15.61	0.931	120	1.270	22.5
ECU03_0300-m1	ALPHAFOLD	1FS1	B	0.815	0.665	14.87	0.859	114	1.646	23.7
ECU03_0300-m1	ALPHAFOLD	1FQV	P	0.758	0.727	16.28	0.826	135	2.303	26.7
ECU03_0300-m1	ALPHAFOLD	1FQV	H	0.752	0.724	16.18	0.820	135	2.322	26.7
ECU03_0300-m1	ALPHAFOLD	7B5M	S	0.767	0.739	14.26	0.831	137	2.646	25.5
ECU03_0300-m1	ALPHAFOLD	1FS2	D	0.775	0.691	15.28	0.838	122	2.043	23.0

### ECU03_0305
ECU03_0305-m1	RAPTORX	3J9T	N	0.923	0.976	18.84	0.964	95	0.593	32.6
ECU03_0305-m1	RAPTORX	6O7V	N	0.923	0.976	18.84	0.964	95	0.593	32.6
ECU03_0305-m1	RAPTORX	6O7X	N	0.902	0.948	17.26	0.936	95	0.898	32.6
ECU03_0305-m1	RAPTORX	3J9V	N	0.902	0.948	17.26	0.936	95	0.898	32.6
ECU03_0305-m1	RAPTORX	3J9U	N	0.899	0.946	17.15	0.934	95	0.891	32.6
ECU03_0305-m1	ALPHAFOLD	4IX9	C	0.726	0.809	13.25	0.841	86	1.477	32.6
ECU03_0305-m1	ALPHAFOLD	4IX9	A	0.753	0.812	13.99	0.853	85	1.302	32.9
ECU03_0305-m1	ALPHAFOLD	4IX9	D	0.757	0.799	13.69	0.844	83	1.235	34.9
ECU03_0305-m1	ALPHAFOLD	4IX9	B	0.736	0.807	13.12	0.834	87	1.625	32.2
ECU03_0305-m1	ALPHAFOLD	6XBW	L	0.798	0.838	14.28	0.853	89	1.446	32.6

### ECU03_0310
ECU03_0310-m1	ALPHAFOLD	6AZ1	L	0.912	0.929	21.16	1.071	143	1.382	39.2
ECU03_0310-m1	ALPHAFOLD	7A1G	F	0.881	0.917	20.88	1.064	141	1.388	41.1
ECU03_0310-m1	ALPHAFOLD	3JAM	Q	0.884	0.915	20.64	1.061	141	1.392	40.4
ECU03_0310-m1	ALPHAFOLD	6ZXG	Q	0.912	0.910	20.83	1.061	140	1.426	41.4
ECU03_0310-m1	ALPHAFOLD	6ZXH	Q	0.913	0.912	20.94	1.063	140	1.414	41.4
ECU03_0310-m1	RAPTORX	4B3S	I	0.612	0.599	9.26	0.716	110	2.732	19.1
ECU03_0310-m1	RAPTORX	2UUA	I	0.611	0.601	9.66	0.721	110	2.643	20.0
ECU03_0310-m1	RAPTORX	2UUC	I	0.610	0.603	9.84	0.723	110	2.630	20.0
ECU03_0310-m1	RAPTORX	4JI3	I	0.621	0.603	9.30	0.723	110	2.596	19.1
ECU03_0310-m1	RAPTORX	4DR7	I	0.626	0.596	9.14	0.711	110	2.739	19.1

### ECU03_0320
ECU03_0320-m1	ALPHAFOLD	6EM5	L	0.858	0.684	12.61	0.930	121	1.577	44.6
ECU03_0320-m1	ALPHAFOLD	4V7F	K	0.803	0.849	13.36	0.968	155	2.362	38.1
ECU03_0320-m1	RAPTORX	6EM5	L	0.692	0.532	10.68	0.813	100	2.227	48.0
ECU03_0320-m1	RAPTORX	4V7F	K	0.539	0.552	8.77	0.758	102	2.472	48.0
ECU03_0320-m1	ALPHAFOLD	7BWK	J	0.280	0.223	-0.18	0.282	61	4.648	4.9
ECU03_0320-m1	ALPHAFOLD	7BWK	E	0.273	0.216	0.19	0.292	55	3.755	5.5
ECU03_0320-m1	ALPHAFOLD	7JRP	R	0.194	0.154	-0.70	0.297	29	2.269	13.8
ECU03_0320-m1	RAPTORX	6EZN	C	0.269	0.224	0.17	0.325	50	3.079	2.0
ECU03_0320-m1	RAPTORX	6C26	3	0.266	0.230	0.11	0.332	49	2.892	2.0
ECU03_0320-m1	RAPTORX	2MZ8	A	0.236	0.277	-1.85	0.058	73	5.091	11.0

### ECU03_0330
ECU03_0330-m1	RAPTORX	4TZ7	A	0.832	0.870	34.52	1.200	269	1.690	23.8
ECU03_0330-m1	RAPTORX	6CN3	A	0.825	0.857	32.60	1.183	265	1.600	22.6
ECU03_0330-m1	RAPTORX	5E3S	A	0.826	0.871	33.39	1.182	271	1.744	22.9
ECU03_0330-m1	RAPTORX	6CN2	A	0.795	0.844	32.05	1.126	267	1.976	22.8
ECU03_0330-m1	RAPTORX	6CMW	A	0.812	0.857	32.56	1.126	273	2.121	23.4
ECU03_0330-m1	ALPHAFOLD	6CMW	A	0.742	0.804	27.92	0.991	265	2.676	23.4
ECU03_0330-m1	ALPHAFOLD	5E3T	A	0.730	0.792	27.34	0.994	259	2.558	23.2
ECU03_0330-m1	ALPHAFOLD	5E3U	A	0.724	0.785	26.83	0.982	258	2.621	23.3
ECU03_0330-m1	ALPHAFOLD	6CN2	A	0.716	0.787	26.64	0.977	260	2.731	22.3
ECU03_0330-m1	ALPHAFOLD	7N7K	A	0.745	0.804	28.42	0.973	268	2.697	23.5

### ECU03_0340
ECU03_0340-m1	RAPTORX	3NA5	A	0.798	0.824	44.16	1.430	482	1.704	21.0
ECU03_0340-m1	RAPTORX	3NA5	B	0.791	0.819	43.22	1.411	480	1.688	21.0
ECU03_0340-m1	RAPTORX	2FUV	A	0.786	0.805	40.79	1.344	478	2.025	20.1
ECU03_0340-m1	RAPTORX	2FUV	B	0.768	0.803	40.54	1.329	479	2.102	19.6
ECU03_0340-m1	RAPTORX	3OLP	A	0.773	0.802	42.38	1.312	477	1.948	20.8
ECU03_0340-m1	ALPHAFOLD	1TUO	A	0.792	0.660	33.67	1.069	411	2.609	21.4
ECU03_0340-m1	ALPHAFOLD	6NQG	A	0.741	0.660	27.70	0.935	428	3.232	17.3
ECU03_0340-m1	ALPHAFOLD	6NPX	A	0.751	0.656	29.79	0.920	430	3.401	18.4
ECU03_0340-m1	ALPHAFOLD	6NP8	A	0.733	0.658	28.96	0.908	432	3.404	16.7
ECU03_0340-m1	ALPHAFOLD	6NNP	A	0.720	0.652	27.51	0.873	434	3.597	17.7

### ECU03_0350
ECU03_0350-m1	ALPHAFOLD	3KPA	B	0.267	0.261	0.07	0.323	64	3.623	6.2
ECU03_0350-m1	ALPHAFOLD	2N3F	A	0.259	0.292	-1.58	0.083	85	4.991	3.5
ECU03_0350-m1	ALPHAFOLD	3KPA	C	0.263	0.261	0.01	0.322	65	3.711	6.2
ECU03_0350-m1	ALPHAFOLD	3KPA	A	0.260	0.261	0.01	0.323	64	3.606	6.2
ECU03_0350-m1	ALPHAFOLD	4AZR	A	0.262	0.249	-0.49	0.271	76	4.757	9.2

### ECU03_0360
ECU03_0360-m1	RAPTORX	1B34	A	0.959	0.900	17.42	0.964	80	0.333	25.0
ECU03_0360-m1	RAPTORX	6AH0	j	0.921	0.896	16.51	0.954	82	0.724	25.6
ECU03_0360-m1	RAPTORX	6ID1	j	0.921	0.896	16.51	0.954	82	0.725	25.6
ECU03_0360-m1	RAPTORX	6ICZ	c	0.921	0.896	16.51	0.954	82	0.725	25.6
ECU03_0360-m1	RAPTORX	5Z58	j	0.921	0.896	16.51	0.954	82	0.725	25.6
ECU03_0360-m1	ALPHAFOLD	6PPV	D	0.875	0.847	15.19	0.895	81	1.064	34.6
ECU03_0360-m1	ALPHAFOLD	6PPN	D	0.862	0.890	16.19	0.909	87	1.463	32.2
ECU03_0360-m1	ALPHAFOLD	6PPQ	D	0.861	0.845	15.20	0.893	81	1.094	34.6
ECU03_0360-m1	ALPHAFOLD	6PPP	L	0.865	0.888	15.74	0.907	87	1.461	32.2
ECU03_0360-m1	ALPHAFOLD	6PPP	D	0.859	0.889	15.78	0.909	87	1.386	32.2

### ECU03_0370
ECU03_0370-m1	RAPTORX	1T8B	B	0.497	0.420	3.97	0.395	173	4.832	6.4
ECU03_0370-m1	RAPTORX	1T8B	A	0.491	0.417	2.50	0.400	172	5.100	8.7
ECU03_0370-m1	RAPTORX	2OLT	B	0.454	0.397	2.84	0.366	168	4.922	8.9
ECU03_0370-m1	RAPTORX	2OLT	A	0.445	0.395	2.88	0.357	166	4.911	9.0
ECU03_0370-m1	RAPTORX	2IIU	B	0.442	0.383	2.67	0.360	163	4.933	9.2
ECU03_0370-m1	ALPHAFOLD	4UOS	A	0.431	0.334	3.36	0.363	135	4.648	5.2
ECU03_0370-m1	ALPHAFOLD	6JC4	D	0.383	0.316	2.17	0.393	115	4.059	5.2
ECU03_0370-m1	ALPHAFOLD	6JC4	B	0.383	0.315	2.18	0.390	115	4.060	5.2
ECU03_0370-m1	ALPHAFOLD	6JC4	C	0.382	0.314	2.15	0.388	115	4.079	5.2
ECU03_0370-m1	ALPHAFOLD	6JC4	A	0.379	0.312	2.16	0.390	113	3.990	4.4

### ECU03_0375
ECU03_0375-m1	ALPHAFOLD	1H2S	B	0.664	0.470	5.61	0.636	60	2.511	10.0
ECU03_0375-m1	ALPHAFOLD	5JJN	B	0.641	0.461	5.32	0.624	59	2.383	10.2
ECU03_0375-m1	ALPHAFOLD	5JJJ	B	0.640	0.454	5.47	0.624	60	2.468	10.0
ECU03_0375-m1	ALPHAFOLD	5JJN	D	0.624	0.447	4.65	0.605	52	1.711	11.5
ECU03_0375-m1	ALPHAFOLD	4GYC	B	0.618	0.443	4.62	0.601	52	1.751	11.5
ECU03_0375-m1	RAPTORX	3SJA	C	0.609	0.440	5.18	0.618	57	2.257	3.5
ECU03_0375-m1	RAPTORX	3SJA	G	0.609	0.440	5.18	0.619	57	2.256	3.5
ECU03_0375-m1	RAPTORX	3SJA	J	0.609	0.440	5.18	0.618	57	2.257	3.5
ECU03_0375-m1	RAPTORX	3SJA	H	0.608	0.440	5.17	0.618	57	2.258	3.5
ECU03_0375-m1	RAPTORX	6AHX	A	0.647	0.460	4.86	0.650	55	1.927	9.1

### ECU03_0377
ECU03_0377-m1	ALPHAFOLD	6CKN	A	0.529	0.420	3.48	0.539	52	2.332	1.9
ECU03_0377-m1	ALPHAFOLD	6SWG	A	0.510	0.450	3.59	0.523	60	3.191	6.7
ECU03_0377-m1	ALPHAFOLD	6CKO	B	0.558	0.446	2.56	0.564	56	2.752	5.4
ECU03_0377-m1	ALPHAFOLD	1H2S	B	0.568	0.409	3.32	0.516	52	3.077	5.8
ECU03_0377-m1	ALPHAFOLD	4JO7	E	0.491	0.484	3.22	0.539	59	2.705	3.4
ECU03_0377-m1	RAPTORX	3FWC	D	0.159	0.169	-0.98	0.290	18	2.612	5.6
ECU03_0377-m1	RAPTORX	3FWC	L	0.163	0.167	-1.03	0.291	17	1.635	5.9
ECU03_0377-m1	RAPTORX	6ESI	F	0.207	0.224	-0.47	0.318	26	2.429	0.0
ECU03_0377-m1	RAPTORX	6UPK	B	0.173	0.168	-1.08	0.275	17	1.608	0.0
ECU03_0377-m1	RAPTORX	4DHX	F	0.159	0.171	-1.04	0.255	19	2.522	10.5

### ECU03_0390
ECU03_0390-m1	RAPTORX	5DO7	B	0.902	0.878	43.35	1.548	527	1.170	25.0
ECU03_0390-m1	RAPTORX	5DO7	D	0.843	0.848	40.25	1.513	508	1.193	25.8
