ECU01_0190	serine hydroxymethyltransferase
ECU05_1355	5S ribosomal RNA
ECU05_1360	putative nucleotidyl transferase
ECU05_1370	putative Zn-dependent protease
ECU05_1380	glutaredoxin domain-containing protein
ECU05_1390	peptidase M48 domain-containing protein
ECU05_1400	putative proteasome alpha subunit
ECU05_1410	hypothetical protein
ECU05_1420	hypothetical protein
ECU05_1430	hypothetical protein
ECU05_1440	hypothetical protein
ECU05_1450	hypothetical protein
ECU05_1460	hypothetical protein
ECU05_1470	hypothetical protein
ECU05_1480	hypothetical protein
ECU05_1490	ribosomal protein L30E
ECU05_1500	hypothetical protein
ECU05_1510	protein kinase domain-containing protein
ECU05_1520	Acyl-CoA thioesterase domain-containing protein
ECU05_1530	putative DNA replication factor C complex large
ECU05_1540	PCI domain-containing protein
ECU05_1550	hypothetical protein
ECU06_0070	hypothetical protein
ECU06_0080	hypothetical protein
ECU06_0090	hypothetical protein
ECU06_0100	hypothetical protein
ECU06_0110	hypothetical protein
ECU06_0120	transketolase
ECU06_0130	hypothetical protein
ECU06_0140	hypothetical protein
ECU06_0150	hypothetical protein
ECU06_0160	hypothetical protein
ECU06_0170	hypothetical protein
ECU06_0180	hypothetical protein
ECU06_0190	putative ATPase
ECU06_0200	Rad3-like DNA repair helicase
ECU06_0210	translation initiation factor 2 subunit beta
ECU06_0220	beta-tubulin folding cofactor D
ECU06_0230i	hypothetical protein
ECU06_0240	polar tube protein 2
ECU06_0250	polar tube protein 1
ECU06_0260	putative E2F transcription factor
ECU06_0270	transport protein particle complex subunit
ECU06_0280	leucyl-tRNA synthetase
ECU06_0290	hypothetical protein
ECU06_0300	hypothetical protein
ECU06_0310	queuine tRNA-ribosyltransferase
ECU06_0320	DNA-directed RNA polymerase II subunit Rpb10
ECU06_0330	PPIase/rotamase
ECU06_0340	minichromosome maintenance protein
ECU06_0350	transcription initiation factor IIE subunit
ECU06_0360	single-stranded DNA-binding replication protein
ECU06_0370i	hypothetical protein
ECU06_0380	hypothetical protein
ECU06_0390	RNase PH-like exoribonuclease
ECU06_0400	Mn2+-dependent serine/threonine protein kinase
ECU06_0405	tRNA-Gly
ECU06_0410	dynactin complex subunit
ECU06_0420	40S ribosome biogenesis GTP-binding protein
ECU06_0430	dUTPase
ECU06_0440	hypothetical protein
ECU06_0450	hypothetical protein
ECU06_0460	N-acetyltransferase
ECU06_0470	nuclear pore complex subunit Nup170
ECU06_0480	Tom40-like porin
ECU06_0490	mevalonate pyrophosphate decarboxylase
ECU06_0500	homeobox domain-containing protein
ECU06_0510	T-complex protein 1 subunit zeta
ECU06_0520	hypothetical protein
ECU06_0530	Tub-like protein
ECU06_0540	TPR repeat-containing protein
ECU06_0550	hypothetical protein
ECU06_0560	hypothetical protein
ECU06_0570	hypothetical protein
ECU06_0580	hypothetical protein
ECU06_0590	hypothetical protein
ECU06_0600	DNA-directed RNA polymerase II subunit RPB3
ECU06_0610	putative HemK-like methylase
ECU06_0620	histidyl-tRNA synthetase
ECU06_0630	hypothetical protein
ECU06_0640	hypothetical protein
ECU06_0650	adenylate kinase
ECU06_0660	hypothetical protein
ECU06_0670	hypothetical protein
ECU06_0680	hypothetical protein
ECU06_0690	hypothetical protein
ECU06_0700	hypothetical protein
ECU06_0710	hypothetical protein
ECU06_0720	phosphotyrosyl phosphatase activator
ECU06_0730	ribonucleoside-diphosphate reductase
ECU06_0740	hypothetical protein
ECU06_0750	insulinase-like Zn-dependent peptidase
ECU06_0760	hypothetical protein
ECU06_0770	vesicle coat complex subunit
ECU06_0780	symplekin domain-containing protein
ECU06_0790	aspartyl-tRNA synthetase
ECU06_0800	hypothetical protein
ECU06_0810	hypothetical protein
ECU06_0820	Snf2/Rad54-like helicase
ECU06_0830	mRNA turnover and stability protein
ECU06_0840	Ssu72-like RNA polymerase II-interacting
ECU06_0850	hypothetical protein
ECU06_0860	hypothetical protein
ECU06_0870	preprotein translocase subunit Sec63
ECU06_0880	hypothetical protein
ECU06_0890	hypothetical protein
ECU06_0900i	60S ribosomal protein L5
ECU06_0905	tRNA-Trp
ECU06_0910	ubiquitin C-terminal hydrolase
ECU06_0920	pre-mRNA splicing helicase
ECU06_0930	P-type ATPase
ECU06_0940	acetyl-CoA C-acyltransferase
ECU06_0950	hypothetical protein
ECU06_0960	hypothetical protein
ECU06_0970	hypothetical protein
ECU06_0980	hypothetical protein
ECU06_0990	t-complex protein 1 subunit epsilon
ECU06_1000	putative zinc finger protein
ECU06_1010	hypothetical protein
ECU06_1020	Myb-like transcription factor
ECU06_1030	RNA 3'-terminal phosphate cyclase
ECU06_1040	ribulose-5-phosphate 3-epimerase
ECU06_1050	hypothetical protein
ECU06_1060	zinc finger domain-containing protein
ECU06_1070	hypothetical protein
ECU06_1080i	60S ribosomal protein L19
ECU06_1090	mitochondrial sulfhydryl oxidase
ECU06_1100i	transcription initiation factor TFIIIB subunit
ECU06_1110	40S ribosomal protein S18
ECU06_1120	60S ribosomal protein L36
ECU06_1130	hypothetical protein
ECU06_1140	small nuclear ribonucleoprotein
ECU06_1150	hypothetical protein
ECU06_1160	hypothetical protein
ECU06_1170	hypothetical protein
ECU06_1180	hypothetical protein
ECU06_1190	GTP-dependent nucleic acid-binding protein EngD
ECU06_1200	hypothetical protein
ECU06_1210	hypothetical protein
ECU06_1213	hypothetical protein
ECU06_1215	hypothetical protein
ECU06_1220	hypothetical protein
ECU06_1230	TruD-like pseudouridine synthase
ECU06_1240	hypothetical protein
ECU06_1250	ATP-dependent RNA helicase
ECU06_1255	tRNA-Arg
ECU06_1260	hypothetical protein
ECU06_1270	HMG domain-containing chromatin-associated
ECU06_1280	hypothetical protein
ECU06_1290	hypothetical protein
ECU06_1295	U2 snRNA
ECU06_1300	ATP-binding protein
ECU06_1310	ATP-binding protein
ECU06_1320	ATP-binding protein
ECU06_1330	diphthamide synthase subunit DPH2
ECU06_1340	hypothetical protein
ECU06_1350	hypothetical protein
ECU06_1360	exonuclease III
ECU06_1370	hypothetical protein
ECU06_1380	ferritin
ECU06_1390	hypothetical protein
ECU06_1400	hypothetical protein
ECU06_1410	hypothetical protein
ECU06_1420i	SPX domain-containing vacuolar polyphosphate
ECU06_1430	hypothetical protein
ECU06_1440	translation elongation factor EF-1 alpha
ECU06_1445	40S ribosomal protein S26
ECU06_1450	Cdc50-like protein
ECU06_1460	Sec1-like vacuolar protein sorting-associated
ECU06_1470	hypothetical protein
ECU06_1480	L-type amino acid transporter
ECU06_1490	hypothetical protein
ECU06_1500	hemolysin III-like putative integral membrane
ECU06_1510	CCR4-NOT transcriptional regulation complex
ECU06_1520	DNA polymerase sigma
ECU06_1530	nucleoside diphosphate kinase
ECU06_1540	hypothetical protein
ECU06_1550	hypothetical protein
ECU06_1560	hypothetical protein
ECU06_1570	ER lumen protein retaining receptor
ECU06_1575	tRNA-Gln
ECU06_1580	Psp1-like protein
ECU06_1590	hypothetical protein
ECU06_1600	hypothetical protein
ECU06_1610	hypothetical protein
ECU06_1620	hypothetical protein
ECU07_0070	hypothetical protein
ECU07_0080	hypothetical protein
ECU07_0090	DNA-directed RNA polymerase subunit beta'
ECU07_0100	NGG1p interacting factor 3-like protein
ECU07_0110	60S acidic ribosomal protein P2
ECU07_0120	hypothetical protein
ECU07_0130	gene silencing histone chaperone
ECU07_0140	hypothetical protein
ECU07_0150	hypothetical protein
ECU07_0160	DNA-3'-phosphatase
ECU07_0170	hypothetical protein
ECU07_0180	histidine acid phosphatase
ECU07_0190	ATP-dependent 26S proteasome regulatory subunit
ECU07_0200	hypothetical protein
ECU07_0210	hypothetical protein
ECU07_0220	transcription initiation factor IIE subunit
ECU07_0230	hypothetical protein
ECU07_0235	tRNA-Gln
ECU07_0240	mitochondrial import inner membrane translocase
ECU07_0250	hypothetical protein
ECU07_0260	hypothetical protein
ECU07_0270	hypothetical protein
ECU07_0280	hypothetical protein
ECU07_0290	hypothetical protein
ECU07_0300	hypothetical protein
ECU07_0310	hypothetical protein
ECU07_0320	tRNA/rRNA cytosine-C5-methylase
ECU07_0330	RING-finger domain-containing ubiquitin ligase
ECU07_0340	U2 snRNP/pre-mRNA association factor
ECU07_0350	separase
ECU07_0355	hypothetical protein
ECU07_0360	serine/threonine protein kinase
ECU07_0370	hypothetical protein
ECU07_0380	RNA exonuclease
ECU07_0390	chromosome segregation ATPase
ECU07_0400	hypothetical protein
ECU07_0410	ubiquitin carboxyl-terminal hydrolase
ECU07_0420	hypothetical protein
ECU07_0430	hypothetical protein
ECU07_0440	hypothetical protein
ECU07_0450	hypothetical protein
ECU07_0460	50S ribosomal protein L7Ae
ECU07_0470	hypothetical protein
ECU07_0480	hypothetical protein
ECU07_0490	Cdc46/Mcm ATPase
ECU07_0500	hypothetical protein
ECU07_0510	hypothetical protein
ECU07_0520	serine/threonine kinase
ECU07_0530	hypothetical protein
ECU07_0540	putative ATP binding protein
ECU07_0550	hypothetical protein
ECU07_0560	EPP-like transporter
ECU07_0570	hypothetical protein
ECU07_0580	hypothetical protein
ECU07_0590	26S proteasome regulatory complex protein
ECU07_0600	adrenodoxin-like ferredoxin
ECU07_0610i	Rad50-like protein
ECU07_0620	hypothetical protein
ECU07_0630	hypothetical protein
ECU07_0640	hypothetical protein
ECU07_0650	hypothetical protein
ECU07_0660	small ubiquitin-related modifier protein
ECU07_0670	hypothetical protein
ECU07_0680	chromosome segregation ATPase
ECU07_0690	hypothetical protein
ECU07_0700	preprotein translocase subunit Sec62
ECU07_0710	hypothetical protein
ECU07_0720	hypothetical protein
ECU07_0730	hypothetical protein
ECU07_0740	aquaporin
ECU07_0750	hypothetical protein
ECU07_0760	DnaJ-class molecular chaperone
ECU07_0770	nuclear pore protein
ECU07_0780	DnaJ domain-containing protein
ECU07_0790	hypothetical protein
ECU07_0800	glyceraldehyde-3-phosphate dehydrogenase
ECU07_0810	hypothetical protein
ECU07_0820	60S acidic ribosomal protein P0
ECU07_0830	ski2-like helicase
ECU07_0840	RNA polymerase subunit Rpb8
ECU07_0850	hypothetical protein
ECU07_0860	E3 ubiquitin ligase subunit Cullin
ECU07_0870	hypothetical protein
ECU07_0880	RNA polymerase II transcription
ECU07_0885	tRNA-Leu
ECU07_0890	TFIIF-interacting CTD phosphatase
ECU07_0900	alpha/beta hydrolase domain-containing protein
ECU07_0910	hypothetical protein
ECU07_0920	hypothetical protein
ECU07_0930	60S ribosomal protein L24
ECU07_0940	oxidation resistance protein
ECU07_0950	replication protein A subunit RPA3-like protein
ECU07_0960	DNA-directed RNA polymerase subunit Rpb5
ECU07_0970	hypothetical protein
ECU07_0980	diphthamide synthase subunit DPH2
ECU07_0990	hypothetical protein
ECU07_1000	hypothetical protein
ECU07_1005	60S ribosomal protein L37a
ECU07_1010	nucleosome-binding factor SPN subunit POB3
ECU07_1020	WD40 domain-containing protein
ECU07_1030	hypothetical protein
ECU07_1040	proteasome subunit alpha
ECU07_1050	NAD kinase
ECU07_1060	ATP-dependent RNA helicase
ECU07_1070	hypothetical protein
ECU07_1080	hypothetical protein
ECU07_1090	hypothetical protein
ECU07_1100	hypothetical protein
ECU07_1110	hypothetical protein
ECU07_1120	hypothetical protein
ECU07_1130	ATP-dependent DNA helicase RecQ
ECU07_1140	splicing factor 3a subunit 3
ECU07_1150	hypothetical protein
ECU07_1160	hypothetical protein
ECU07_1170	tRNA-dihydrouridine synthase
ECU07_1180	hypothetical protein
ECU07_1190	alpha tubulin
ECU07_1200	hypothetical protein
ECU07_1210	hypothetical protein
ECU07_1220	formin homology 2 domain-containing protein
ECU07_1230	hypothetical protein
ECU07_1240	hypothetical protein
ECU07_1250	hypothetical protein
ECU07_1260	Golgi nucleoside diphosphatase
ECU07_1270	serine/threonine kinase
ECU07_1280	glucosamine-fructose-6-phosphate
ECU07_1290	hypothetical protein
ECU07_1300	Hsp90 ATPase activator
ECU07_1310	hypothetical protein
ECU07_1320	hypothetical protein
ECU07_1330	translation initiation factor IF-2 subunit beta
ECU07_1340	rRNA methylase
ECU07_1350	putative V-type ATP synthase
ECU07_1360	hypothetical protein
ECU07_1370	hypothetical protein
ECU07_1380	ubiquitin/L40 ribosomal protein fusion
ECU07_1390	hypothetical protein
ECU07_1410	60S ribosomal protein L22/L17e
ECU07_1420	proteasome subunit beta type-1
ECU07_1430	hypothetical protein
ECU07_1440	Dopey-like leucine zipper transcription factor
ECU07_1450	hypothetical protein
ECU07_1460	60S ribosomal protein L37
ECU07_1470	hypothetical protein
ECU07_1475	tRNA-Arg
ECU07_1480	hypothetical protein
ECU07_1485	tRNA-Lys
ECU07_1490	hypothetical protein
ECU07_1495	5S ribosomal RNA
ECU07_1500	type V P-ATPase
ECU07_1523	hypothetical protein
ECU07_1525	tRNA-Ala
ECU07_1530	hypothetical protein
ECU07_1550	hypothetical protein
ECU07_1560	hypothetical protein
ECU07_1570	threonyl-tRNA synthetase
ECU07_1580	hypothetical protein
ECU07_1590	hypothetical protein
ECU07_1600	hypothetical protein
ECU07_1610	tRNA-dihydrouridine synthase
ECU07_1620	hypothetical protein
ECU07_1630	mRNA decapping enzyme 2
ECU07_1640	26 proteosome regulatory subunit 4
ECU07_1650	hypothetical protein
ECU07_1660	phenylalanyl-tRNA synthetase subunit alpha
ECU07_1670	hypothetical protein
ECU07_1680	putative acetyltransferase
ECU07_1690	transcriptional accessory-like protein
ECU07_1700	40S ribosomal protein S2
ECU07_1710	hypothetical protein
ECU07_1720	hypothetical protein
ECU07_1730	hypothetical protein
ECU07_1740	MADS domain-containing protein
ECU07_1750	RNA polymerase II subunit 7
ECU07_1760	glucosamine 6-phosphate N-acetyltransferase
ECU07_1770	hypothetical protein
ECU07_1780	hypothetical protein
ECU07_1790	Myg1-like metal binding protein
ECU07_1800	hypothetical protein
ECU08_0100	hypothetical protein
ECU08_0110	ABCG White-like ABC transporter
ECU08_0120	hypothetical protein
ECU08_0130	hypothetical protein
ECU08_0135	putative small nuclear ribonucleoprotein
ECU08_0140	hypothetical protein
ECU08_0150	clathrin adaptor complex small subunit
ECU08_0160	EF-Hand Ca2+-binding protein
ECU08_0170	hypothetical protein
ECU08_0180	hypothetical protein
ECU08_0190	hypothetical protein
ECU08_0200	hypothetical protein
ECU08_0210	hypothetical protein
ECU08_0215	tRNA-Glu
ECU08_0230	cyclin-dependent protein kinase
ECU08_0240	GTP-binding protein
ECU08_0250	vacuolar H+-ATPase V1 sector subunit H
ECU08_0260	cyclin
ECU08_0270	hypothetical protein
ECU08_0280	proteasome subunit beta type-2
ECU08_0290	minichromosome maintenance protein
ECU08_0300	hypothetical protein
ECU08_0310	hypothetical protein
ECU08_0320	DNA-directed RNA polymerase
ECU08_0330	putative GTPase
ECU08_0340	hypothetical protein
ECU08_0350i	40S ribosomal protein S15
ECU08_0360	hypothetical protein
ECU08_0370	60S ribosomal protein L26
ECU08_0380	RNA binding protein
ECU08_0390	histidine triad nucleotide-binding protein
ECU08_0400	tRNA/rRNA cytosine-C5-methylase
ECU08_0410	histone H2B-like protein
ECU08_0420	hypothetical protein
ECU08_0430	hypothetical protein
ECU08_0440	hypothetical protein
ECU08_0450	hypothetical protein
ECU08_0460	E1 ubiquitin activating enzyme-like protein
ECU08_0470	peptidyl-prolyl cis-trans isomerase
ECU08_0480	hypothetical protein
ECU08_0490	cysteinyl-tRNA-synthetase
ECU08_0500	hypothetical protein
ECU08_0510	hypothetical protein
ECU08_0520	RNA binding domain-containing protein
ECU08_0530	sulfate permease-like protein
ECU08_0540	hypothetical protein
ECU08_0545	Sm-like protein
ECU08_0550	arginyl-tRNA synthetase
ECU08_0555	U6 snRNA
ECU08_0560	Zn-finger domain-containing protein
ECU08_0570	hypothetical protein
ECU08_0575	tRNA-Cys
ECU08_0580	hypothetical protein
ECU08_0590	hypothetical protein
ECU08_0600i	60S ribosomal protein L18
ECU08_0610	chromosome condensation complex Condensin
ECU08_0620	hypothetical protein
ECU08_0630	DNA primase catalytic subunit
ECU08_0640	hypothetical protein
ECU08_0650	DNA-directed RNA polymerase subunit E'
ECU08_0660	hypothetical protein
ECU08_0665	tRNA-Arg
ECU08_0670	gamma-tubulin
ECU08_0680	vesicle coat complex COPI subunit zeta
ECU08_0690	hypothetical protein
ECU08_0700	Golgi-to-ER retrieval protein
ECU08_0710	hypothetical protein
ECU08_0720	hypothetical protein
ECU08_0730	Rab5-like GTPase
ECU08_0740	MRP-like protein
ECU08_0750	hypothetical protein
ECU08_0760	ERCC4-type nuclease
ECU08_0765	RNA polymerase II subunit Rpb4
ECU08_0770	8-oxoguanine DNA glycosylase
ECU08_0780	hypothetical protein
ECU08_0790	hypothetical protein
ECU08_0800	signal recognition particle protein Srp19
ECU08_0810	hypothetical protein
ECU08_0830	60S ribosomal protein L4
ECU08_0840	hypothetical protein
ECU08_0850	mRNA deadenylase subunit
ECU08_0860	Ubiquitin-conjugating enzyme E2
ECU08_0870	40S ribosomal protein S4
ECU08_0880	endonuclease III
ECU08_0890	kinesin-like protein
ECU08_0900	translation initiation factor 4E
ECU08_0910	hypothetical protein
ECU08_0920	hypothetical protein
ECU08_0930	cyclic nucleotide-binding domain-containing
ECU08_0935	tRNA-Val
ECU08_0937	tRNA-Tyr
ECU08_0940	hypothetical protein
ECU08_0950	hypothetical protein
ECU08_0960	hypothetical protein
ECU08_0970	heat shock transcription factor
ECU08_0980	hypothetical protein
ECU08_0985	hypothetical protein
ECU08_0990	hypothetical protein
ECU08_1000	hypothetical protein
ECU08_1010	hypothetical protein
ECU08_1020	hypothetical protein
ECU08_1030	hypothetical protein
ECU08_1040	40S ribosomal protein S25
ECU08_1050	hypothetical protein
ECU08_1060	40S ribosomal protein S13
ECU08_1070	40S ribosomal protein S25
ECU08_1080	ATP-dependent RNA helicase
ECU08_1090	histone acetyltransferase
ECU08_1100	coatomer subunit beta
ECU08_1110	WD40 domain-containing protein
ECU08_1120	Rad3-like DNA helicase
ECU08_1130	hypothetical protein
ECU08_1140	hypothetical protein
ECU08_1150	putative short-chain alcohol dehydrogenase
ECU08_1160i	60S ribosomal protein L23
ECU08_1170	hypothetical protein
ECU08_1180	hypothetical protein
ECU08_1190	RNase P/RNase MRP subunit p30-like protein
ECU08_1200	RNase P/RNase MRP subunit p30-like protein
ECU08_1210	hypothetical protein
ECU08_1220	hypothetical protein
ECU08_1225	hypothetical protein
ECU08_1230	hypothetical protein
ECU08_1240	hypothetical protein
ECU08_1250	WD40 domain-containing protein
ECU08_1260	hypothetical protein
ECU08_1270i	developmentally regulated GTP-binding protein
ECU08_1280	hypothetical protein
ECU08_1290	prenyltransferase subunit beta
ECU08_1300	ATP/ADP translocase
ECU08_1320	hypothetical protein
ECU08_1330	DNA-directed RNA polymerase subunit M
ECU08_1340	hypothetical protein
ECU08_1350	TRAM protein transporter
ECU08_1370	hypothetical protein
ECU08_1380	glutaredoxin
ECU08_1390	hypothetical protein
ECU08_1400	GATA Zn-finger-containing transcription
ECU08_1410	hypothetical protein
ECU08_1420	phosphoinositide polyphosphatase
ECU08_1430	hypothetical protein
ECU08_1440	hypothetical protein
ECU08_1450	N2,N2-dimethylguanosine tRNA methyltransferase
ECU08_1470	hypothetical protein
ECU08_1480	serine/threonine kinase
ECU08_1490	hypothetical protein
ECU08_1500	hypothetical protein
ECU08_1510	ribosome biogenesis regulatory protein
ECU08_1520	vacuolar-type H+-ATPase
ECU08_1530	putative pseudouridylate synthase
ECU08_1540	hypothetical protein
ECU08_1550	hypothetical protein
ECU08_1560	hypothetical protein
ECU08_1570	60S ribosomal protein L10
ECU08_1580	type-2 proteasome subunit alpha
ECU08_1590	hypothetical protein
ECU08_1600	hypothetical protein
ECU08_1610	putative exosome subunit
ECU08_1620	serine/threonine kinase
ECU08_1630	cleavage and polyadenylation specificity factor
ECU08_1640	chromatin remodeling bromodomain-containing
ECU08_1650	hypothetical protein
ECU08_1660	transcription elongation factor SPT4
ECU08_1670	hypothetical protein
ECU08_1680	hypothetical protein
ECU08_1690	GTPase-activating protein
ECU08_1700	hypothetical protein
ECU08_1710	hypothetical protein
ECU08_1720	hypothetical protein
ECU08_1730	hypothetical protein
ECU08_1740	hypothetical protein
ECU08_1750	hypothetical protein
ECU08_1760	hypothetical protein
ECU08_1770	DNA binding factor subunit TFIIIC1-like protein
ECU08_1780	ribosomal protein L14E/L6E/L27E
ECU08_1790	cyclin-dependent protein kinase
ECU08_1810	hypothetical protein
ECU08_1820	hypothetical protein
ECU08_1830	hypothetical protein
ECU08_1840	putative PP-loop ATPase
ECU08_1850	glucose-6-phosphate 1-dehydrogenase
ECU08_1860	putative RNA methylase
ECU08_1865	tRNA-Thr
ECU08_1870	type-5 proteasome subunit beta
ECU08_1880	hypothetical protein
ECU08_1890	hypothetical protein
ECU08_1900	AAA ATPase
ECU08_1910	ribosomal protein L23
ECU08_1915	tRNA-Asn
ECU08_1920	cyclin-dependent protein kinase
ECU08_1930	ADP-ribosylation factor 1
ECU08_1950	hypothetical protein
ECU08_1960	cyclin-dependent protein kinase
ECU08_1970	ATP-dependent 26S proteasome regulatory subunit
ECU08_1980	hypothetical protein
ECU08_1990	hypothetical protein
ECU08_2000	hypothetical protein
ECU08_2010	60S ribosomal protein L12
ECU08_2020	hypothetical protein
ECU08_2030	hypothetical protein
ECU08_2040	hypothetical protein
ECU08_2050	hypothetical protein
ECU08_2060	hypothetical protein
ECU08_2070	hypothetical protein
ECU09_0010	hypothetical protein
ECU09_0020	hypothetical protein
ECU09_0030	hypothetical protein
ECU09_0040	hypothetical protein
ECU09_0050	hypothetical protein
ECU09_0060	hypothetical protein
ECU09_0070	translation initiation factor IF-2
ECU09_0080	hypothetical protein
ECU09_0090	hypothetical protein
ECU09_0100	hypothetical protein
ECU09_0110	hypothetical protein
ECU09_0120	hypothetical protein
ECU09_0130	ER translocation protein Sec61
ECU09_0140	O-sialoglycoprotein endopeptidase
ECU09_0150	HrpA-like helicase
ECU09_0160	hypothetical protein
ECU09_0170	Rab GTPase
ECU09_0180	hypothetical protein
ECU09_0190	hypothetical protein
ECU09_0200	hypothetical protein
ECU09_0210	hypothetical protein
ECU09_0220	hypothetical protein
ECU09_0230	hypothetical protein
ECU09_0240	hypothetical protein
ECU09_0250	hypothetical protein
ECU09_0260	hypothetical protein
ECU09_0270	TATA binding protein associated factor 4-like
ECU09_0280	hypothetical protein
ECU09_0290	Ca2+-binding actin-bundling fimbrin/plastin
ECU09_0300	hypothetical protein
ECU09_0310	telomerase reverse transcriptase
ECU09_0320	hypothetical protein
ECU09_0330	proteasome subunit alpha
ECU09_0340	DWNN ubiquitin-like domain-containing protein
ECU09_0350	pre-ribosome nuclear export protein
ECU09_0360	hypothetical protein
ECU09_0370	hypothetical protein
ECU09_0380	hypothetical protein
ECU09_0390	hypothetical protein
ECU09_0395	60S ribosomal protein L39
ECU09_0400	mRNA capping enzyme subunit alpha
ECU09_0405	5S ribosomal RNA
ECU09_0410	superfamily II DNA/RNA helicase
ECU09_0420	hypothetical protein
ECU09_0430	DNA polymerase type-B delta catalytic subunit
ECU09_0440	histone H4
ECU09_0450	histone H3
ECU09_0460	hypothetical protein
ECU09_0470	hypothetical protein
ECU09_0480	T complex protein 1 subunit beta
ECU09_0490	hypothetical protein
ECU09_0500	hypothetical protein
ECU09_0510	hypothetical protein
ECU09_0520	hypothetical protein
ECU09_0530	hypothetical protein
ECU09_0540	hypothetical protein
ECU09_0550	hypothetical protein
ECU09_0560	hypothetical protein
ECU09_0570	hypothetical protein
ECU09_0580	hypothetical protein
ECU09_0590	hypothetical protein
ECU09_0600	hypothetical protein
ECU09_0610	hypothetical protein
ECU09_0620	hypothetical protein
ECU09_0625	RING-finger-containing E3 ubiquitin ligase
ECU09_0630	hypothetical protein
ECU09_0640	pyruvate kinase
ECU09_0650	hypothetical protein
ECU09_0660	hypothetical protein
ECU09_0670	histone deacetylase
ECU09_0680	hypothetical protein
ECU09_0690	hypothetical protein
ECU09_0700	Prp40-like splicing factor
ECU09_0710	hypothetical protein
ECU09_0720	proteasome subunit beta type-7
ECU09_0730	hypothetical protein
ECU09_0740	hypothetical protein
ECU09_0750	hypothetical protein
ECU09_0760	5'-3' exonuclease
ECU09_0770	DNA polymerase delta subunit B
ECU09_0780	hypothetical protein
ECU09_0790	hypothetical protein
ECU09_0800	hypothetical protein
ECU09_0810	hypothetical protein
ECU09_0820	septin
ECU09_0830	ribonuclease
ECU09_0840	hypothetical protein
ECU09_0850	hypothetical protein
ECU09_0860	hypothetical protein
ECU09_0870	hypothetical protein
ECU09_0880	hypothetical protein
ECU09_0890	hypothetical protein
ECU09_0900	hypothetical protein
ECU09_0910	deoxyhypusine synthase
ECU09_0920	23S rRNA methylase
ECU09_0930	Rad52 recombination DNA repair protein
ECU09_0940	ER to Golgi transport membrane protein
ECU09_0945	hypothetical protein
ECU09_0950	hypothetical protein
ECU09_0960	hypothetical protein
ECU09_0970	homeodomain-containing transcription factor
ECU09_0980	PP2A-like phosphoprotein phosphatase
ECU09_0990	hypothetical protein
ECU09_1000	60S ribosomal protein L3
ECU09_1005	hypothetical protein
ECU09_1010	hypothetical protein
ECU09_1020	hypothetical protein
ECU09_1030	cyclin
ECU09_1040	pyruvate dehydrogenase E1 component subunit
ECU09_1050	hypothetical protein
ECU09_1060	hypothetical protein
ECU09_1070	glycosylphosphatidylinositol transamidase
ECU09_1080	hypothetical protein
ECU09_1100	hypothetical protein
ECU09_1110	hypothetical protein
ECU09_1120	hypothetical protein
ECU09_1160	hypothetical protein
ECU09_1170	Per1-like putative membrane protein
ECU09_1180	hypothetical protein
ECU09_1190	amino acid permease
ECU09_1200	ATP-dependent RNA helicase
ECU09_1210	glycosyltransferase
ECU09_1220	Ca2+-binding protein
ECU09_1230	hypothetical protein
ECU09_1240	RNA-binding protein
ECU09_1250	40S ribosomal protein S3
ECU09_1260	RIO protein kinase
ECU09_1270	hypothetical protein
ECU09_1275	40S ribosomal protein S28
ECU09_1280	hypothetical protein
ECU09_1290	hypothetical protein
ECU09_1300	DNA repair protein Mms21
ECU09_1310	histone acetyltransferase
ECU09_1320	endochitinase
ECU09_1330	replication factor C small subunit
ECU09_1340	hypothetical protein
ECU09_1350	ribosomal protein S15A
ECU09_1360	minichromosome maintenance protein
ECU09_1370	hypothetical protein
ECU09_1375	glutaredoxin
ECU09_1380	ribosome stability and mRNA decay protein
ECU09_1390	DNA helicase TIP49
ECU09_1395	tRNA-Arg
ECU09_1400	hypothetical protein
ECU09_1410	hypothetical protein
ECU09_1420	hypothetical protein
ECU09_1430	hypothetical protein
ECU09_1440	P-type ATPase
ECU09_1450	Rab GTPase
ECU09_1460	hypothetical protein
ECU09_1470	hypothetical protein
ECU09_1480	hypothetical protein
ECU09_1490	hypothetical protein
ECU09_1500	hypothetical protein
ECU09_1510	hypothetical protein
ECU09_1520	hypothetical protein
ECU09_1530	hypothetical protein
ECU09_1540	hypothetical protein
ECU09_1550	hypothetical protein
ECU09_1560	protein disulfide isomerase
ECU09_1570	hypothetical protein
ECU09_1580	hypothetical protein
ECU09_1590	Yip1 interacting factor
ECU09_1600	ribosomal biogenesis protein
ECU09_1610	translation factor
ECU09_1620	DNA repair flap endonuclease
ECU09_1630	hypothetical protein
ECU09_1640	ATP-dependent RNA helicase
ECU09_1650	autoantigen NGP-1
ECU09_1660	hypothetical protein
ECU09_1670	hypothetical protein
ECU09_1680	asparaginyl-tRNA synthetase
ECU09_1690	Ndc80p-complex mitotic spindle protein
ECU09_1695	hypothetical protein
ECU09_1700	vacuole import and degradation protein
ECU09_1710	NADPH cytochrome p450 reductase
ECU09_1720	hypothetical protein
ECU09_1730	Cdc73-like RNA polymerase II assessory factor
ECU09_1740	hypothetical protein
ECU09_1750	putative methyl transferase
ECU09_1760	hypothetical protein
ECU09_1770	hypothetical protein
ECU09_1780	mevalonate kinase
ECU09_1785	tRNA-Glu
