Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8SVP6	Y4G3_ENCCU	reviewed	Uncharacterized membrane protein ECU04_1630	ECU04_1630	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	427
Q8SVP4	Y4G5_ENCCU	reviewed	UPF0329 protein ECU04_1650	ECU04_1650	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	117
Q8SVP3	Y4G6_ENCCU	reviewed	UPF0329 protein ECU04_1660	ECU04_1660	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	269
Q8SVP2	Y4G7_ENCCU	reviewed	UPF0329 protein ECU04_1670	ECU04_1670	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	586
Q8ST70	Y503_ENCCU	reviewed	UPF0328 protein ECU05_0030/ECU10_1870	ECU05_0030; ECU10_1870	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	489
Q8SVN9	Y505_ENCCU	reviewed	UPF0328 protein ECU05_0050	ECU05_0050	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	275
Q8SVN5	Y511_ENCCU	reviewed	Uncharacterized protein ECU05_0110	ECU05_0110	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	333
Q8SVN2	Y514_ENCCU	reviewed	Uncharacterized membrane protein ECU05_0140	ECU05_0140	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	458
Q8SVL5	Y551_ENCCU	reviewed	Uncharacterized protein ECU05_0510	ECU05_0510	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	230
Q8SVK8	Y559_ENCCU	reviewed	Uncharacterized protein ECU05_0590	ECU05_0590	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	251
Q8SVI9	Y5A4_ENCCU	reviewed	Uncharacterized protein ECU05_1040	ECU05_1040	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	243
Q8STJ2	Y5G0_ENCCU	reviewed	Uncharacterized protein ECU05_1600/ECU11_0130	ECU05_1600; ECU11_0130	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	298
Q8ST42	Y5G1_ENCCU	reviewed	UPF0328 protein ECU05_1610/ECU11_0120	ECU05_1610; ECU11_0120	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	266
Q8STB2	Y5G3_ENCCU	reviewed	Uncharacterized protein ECU05_1630/ECU11_0100	ECU05_1630; ECU11_0100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	101
Q8STF1	Y5G4_ENCCU	reviewed	UPF0328 protein ECU05_1640/ECU11_0090	ECU05_1640; ECU11_0090	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	268
Q8STI0	Y5G5_ENCCU	reviewed	UPF0329 protein ECU05_1650/ECU11_0080	ECU05_1650; ECU11_0080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	116
Q8STG4	Y5G6_ENCCU	reviewed	UPF0328 protein ECU05_1660/ECU11_0070	ECU05_1660; ECU11_0070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	239
Q8STA9	Y5G8_ENCCU	reviewed	UPF0329 protein ECU05_1680/ECU11_0050	ECU05_1680; ECU11_0050	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	612
Q8ST65	Y5G9_ENCCU	reviewed	UPF0328 protein ECU05_1690/ECU11_0040	ECU05_1690; ECU11_0040	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	266
Q8ST81	Y602_ENCCU	reviewed	UPF0328 protein ECU06_0020/ECU06_1700	ECU06_0020; ECU06_1700	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	280
Q8STJ4	Y603_ENCCU	reviewed	UPF0328 protein ECU06_0030/ECU06_1690/ECU11_0020	ECU06_0030; ECU06_1690; ECU11_0020	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	248
Q8SVF8	Y604_ENCCU	reviewed	UPF0329 protein ECU06_0040	ECU06_0040	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	477
Q8SVF7	Y605_ENCCU	reviewed	UPF0329 protein ECU06_0050	ECU06_0050	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	158
Q8SVF5	Y607_ENCCU	reviewed	UPF0328 protein ECU06_0070	ECU06_0070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	267
Q8SVF4	Y608_ENCCU	reviewed	UPF0329 protein ECU06_0080	ECU06_0080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	580
Q8SVF3	Y609_ENCCU	reviewed	UPF0329 protein ECU06_0090	ECU06_0090	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	606
Q8SVF2	Y610_ENCCU	reviewed	UPF0328 protein ECU06_0100	ECU06_0100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	261
Q8SVC0	Y667_ENCCU	reviewed	PH domain-containing protein ECU06_0670	ECU06_0670	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	271
Q8SV64	Y6G1_ENCCU	reviewed	UPF0329 protein ECU06_1610	ECU06_1610	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	607
Q8SV63	Y6G2_ENCCU	reviewed	UPF0329 protein ECU06_1620	ECU06_1620	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	579
Q8SV60	Y6G5_ENCCU	reviewed	UPF0328 protein ECU06_1650	ECU06_1650	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	391
Q8SV58	Y6G7_ENCCU	reviewed	UPF0329 protein ECU06_1670	ECU06_1670	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	200
Q8SV57	Y6G8_ENCCU	reviewed	UPF0329 protein ECU06_1680	ECU06_1680	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	458
Q8SV56	Y702_ENCCU	reviewed	Uncharacterized protein ECU07_0020	ECU07_0020	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	101
Q8ST93	Y703_ENCCU	reviewed	Uncharacterized protein ECU07_0030/ECU09_2040	ECU07_0030; ECU09_2040	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	236
Q8ST40	Y704_ENCCU	reviewed	UPF0328 protein ECU07_0040/ECU09_2030	ECU07_0040; ECU09_2030	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	268
Q8STE6	Y705_ENCCU	reviewed	UPF0329 protein ECU07_0050/ECU09_2020	ECU07_0050; ECU09_2020	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	216
Q8SV55	Y706_ENCCU	reviewed	UPF0328 protein ECU07_0060	ECU07_0060	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	258
Q8SV54	Y707_ENCCU	reviewed	UPF0329 protein ECU07_0070	ECU07_0070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	615
Q8SV35	Y733_ENCCU	reviewed	Uncharacterized RING finger protein ECU07_0330	ECU07_0330	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	314
Q8SV33	Y740_ENCCU	reviewed	Uncharacterized Golgi apparatus protein ECU07_0400	ECU07_0400	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	208
Q8SV25	Y753_ENCCU	reviewed	Uncharacterized membrane protein ECU07_0530	ECU07_0530	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	412
Q8SV00	Y792_ENCCU	reviewed	Uncharacterized protein ECU07_0920	ECU07_0920	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	311
Q8SUY7	Y7A9_ENCCU	reviewed	Uncharacterized protein ECU07_1090	ECU07_1090	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	276
Q8SUY5	Y7B2_ENCCU	reviewed	Uncharacterized protein ECU07_1120	ECU07_1120	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	420
Q8SUU2	Y7I4_ENCCU	reviewed	Uncharacterized protein ECU07_1840	ECU07_1840	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	161
Q8ST44	Y7I5_ENCCU	reviewed	UPF0329 protein ECU07_1850/ECU10_0050	ECU07_1850; ECU10_0050	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	634
Q8ST89	Y7I6_ENCCU	reviewed	UPF0329 protein ECU07_1860/ECU10_0040/ECU11_2100	ECU07_1860; ECU10_0040; ECU11_2100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	135
Q8STJ1	Y7I7_ENCCU	reviewed	UPF0328 protein ECU07_1870/ECU10_0030	ECU07_1870; ECU10_0030	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	260
Q8STD6	Y7I8_ENCCU	reviewed	UPF0329 protein ECU07_1880/ECU10_0020	ECU07_1880; ECU10_0020	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	211
Q8ST30	Y7I9_ENCCU	reviewed	UPF0329 protein ECU07_1890/ECU10_0010	ECU07_1890; ECU10_0010	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	433
Q8SUH8	Y808_ENCCU	reviewed	UPF0328 protein ECU08_2080	ECU08_2080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	276
Q8SRF5	Y823_ENCCU	reviewed	Probable cell division protein kinase ECU08_0230 (EC 2.7.11.22)	ECU08_0230	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	265
Q8SUT4	Y827_ENCCU	reviewed	Uncharacterized protein ECU08_0270	ECU08_0270	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	392
Q8SUS0	Y854_ENCCU	reviewed	Uncharacterized membrane protein ECU08_0540	ECU08_0540	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	291
Q8SUN2	Y8C8_ENCCU	reviewed	Uncharacterized protein ECU08_1280	ECU08_1280	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	438
Q8SUL4	Y8F5_ENCCU	reviewed	Uncharacterized membrane protein ECU08_1550	ECU08_1550	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	102
Q8SR90	Y8H9_ENCCU	reviewed	Probable cell division protein kinase ECU11_1290 (EC 2.7.11.22)	ECU08_1790	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	309
Q8SU92	Y8I5_ENCCU	reviewed	UPF0328 protein ECU10_1850	ECU10_1850	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	268
Q8SUI0	Y8K6_ENCCU	reviewed	UPF0328 protein ECU08_2060	ECU08_2060	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	263
Q8SUH9	Y8K7_ENCCU	reviewed	UPF0329 protein ECU08_2070	ECU08_2070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	619
Q8STY8	Y902_ENCCU	reviewed	UPF0328 protein ECU09_0020	ECU09_0020	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	271
Q8STP1	Y9E0_ENCCU	reviewed	Uncharacterized protein ECU09_1400	ECU09_1400	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	257
Q8STN7	Y9E7_ENCCU	reviewed	RRM domain-containing protein ECU09_1470	ECU09_1470	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	161
Q8STN5	Y9F0_ENCCU	reviewed	Putative methyltransferase ECU09_1500 (EC 2.1.1.-)	ECU09_1500	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	225
Q8STL3	Y9I2_ENCCU	reviewed	Uncharacterized protein ECU09_1820	ECU09_1820	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	232
Q8STL0	Y9I8_ENCCU	reviewed	Uncharacterized protein ECU09_1880	ECU09_1880	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	414
Q8STK5	Y9J5_ENCCU	reviewed	Uncharacterized membrane protein ECU09_1950	ECU09_1950	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	179
Q8STK1	Y9K1_ENCCU	reviewed	UPF0328 protein ECU09_2010	ECU09_2010	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	245
Q8STI4	YA60_ENCCU	reviewed	Uncharacterized protein ECU10_0060/ECU11_2080i	ECU10_0060; ECU11_2080i	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	283
Q8SUE5	YA88_ENCCU	reviewed	Uncharacterized membrane protein ECU10_0880	ECU10_0880	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	306
Q8SUD4	YAA7_ENCCU	reviewed	Uncharacterized protein ECU10_1070	ECU10_1070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	101
Q8SU96	YAI1_ENCCU	reviewed	UPF0329 protein ECU10_1810	ECU10_1810	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	621
Q8SU95	YAI2_ENCCU	reviewed	UPF0328 protein ECU10_1820	ECU10_1820	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	225
Q8SU91	YAI6_ENCCU	reviewed	UPF0329 protein ECU10_1860	ECU10_1860	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	218
Q8SQZ4	YAK1_ENCCU	reviewed	Probable dual specificity protein kinase YAK1 homolog (EC 2.7.12.1)	YAK1 ECU11_0180	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	405
Q8SU90	YB03_ENCCU	reviewed	UPF0329 protein ECU11_0030	ECU11_0030	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	641
Q8SU65	YB51_ENCCU	reviewed	Polysaccharide deacetylase domain-containing protein ECU11_0510	ECU11_0510	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	254
Q8SQU8	YBC9_ENCCU	reviewed	Probable cell division protein kinase ECU11_1290 (EC 2.7.11.22)	ECU11_1290	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	328
Q8SQU5	YBD4_ENCCU	reviewed	ABC transporter-like protein ECU11_1340	ECU11_1340	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	582
Q8STZ1	YBK9_ENCCU	reviewed	UPF0329 protein ECU11_2090	ECU11_2090	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	634
Q8STZ0	YBL1_ENCCU	reviewed	UPF0328 protein ECU11_2110	ECU11_2110	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	221
Q8SSI6	YRB1_ENCCU	reviewed	Ran-specific GTPase-activating protein 1 (Ran-binding protein 1) (RANBP1)	YRB1 ECU02_0140	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	219
Q8SWF6	Z231_ENCCU	reviewed	Zinc finger C2H2 protein ECU02_0310	ECU02_0310	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	104
Q8SW43	Z379_ENCCU	reviewed	Zinc finger C2H2 protein ECU03_0790	ECU03_0790	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	190
Q8SW34	Z394_ENCCU	reviewed	Zinc finger C2H2 protein ECU03_0940	ECU03_0940	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	196
Q8SRY4	Z561_ENCCU	reviewed	Zinc finger C2H2 protein ECU05_0610	ECU05_0610	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	281
Q8SV95	Z6B5_ENCCU	reviewed	Zinc finger C2H2 protein ECU06_1150	ECU06_1150	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	145
Q8SUR9	Z856_ENCCU	reviewed	Zinc finger C2H2 protein ECU08_0560	ECU08_0560	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	449
Q8SUH6	ZA15_ENCCU	reviewed	Zinc finger C2H2 protein ECU10_0150	ECU10_0150	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	388
Q8SQW0	ZB99_ENCCU	reviewed	Zinc finger C2H2 protein ECU11_0990	ECU11_0990	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	165
Q8ST71	Q8ST71_ENCCU	unreviewed	Putative uncharacterized protein ECU01_0020 (Putative uncharacterized protein ECU01_1590)	ECU01_0020 ECU01_1590	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	231
Q8ST33	Q8ST33_ENCCU	unreviewed	Putative uncharacterized protein ECU05_1670 (Putative uncharacterized protein ECU11_0060)	ECU05_1670 ECU11_0060	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	121
Q8ST64	Q8ST64_ENCCU	unreviewed	Putative uncharacterized protein ECU05_1620 (Putative uncharacterized protein ECU11_0110)	ECU05_1620 ECU11_0110	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	176
Q8ST68	Q8ST68_ENCCU	unreviewed	Putative uncharacterized protein ECU05_1580 (Putative uncharacterized protein ECU11_0150)	ECU05_1580 ECU11_0150	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	182
Q8ST63	Q8ST63_ENCCU	unreviewed	Putative uncharacterized protein ECU07_1810 (Putative uncharacterized protein ECU10_0080)	ECU07_1810 ECU10_0080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	280
Q8SQJ6	Q8SQJ6_ENCCU	unreviewed	CHROMOSOME SEGREGATION PROTEIN OF THE SMC FAMILY	ECU09_1910	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	1017
Q8SQQ1	Q8SQQ1_ENCCU	unreviewed	GTP-BINDING PROTEIN	ECU09_0170	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	217
Q8SQT2	Q8SQT2_ENCCU	unreviewed	DNA LYASE/ENDONUCLEASE 4	ECU11_1550i	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	275
Q8SQY8	Q8SQY8_ENCCU	unreviewed	DNA-directed RNA polymerase (EC 2.7.7.6)	ECU11_0370	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	1110
Q8SR59	Q8SR59_ENCCU	unreviewed	PROTEASOME ALPHA SUBUNIT C6	ECU10_0550	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	234
Q8SRA8	Q8SRA8_ENCCU	unreviewed	HYPOTHETICAL OXIDOREDUCTASE SHORT CHAIN DEHYDROGENASES/REDUCTASES (SDR) FAMILY	ECU08_1150	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	296
Q8SRN1	Q8SRN1_ENCCU	unreviewed	CDC50-LIKE PROTEIN	ECU06_1450	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	270
Q8SRQ6	Q8SRQ6_ENCCU	unreviewed	SSU72 PROTEIN HOMOLOG	ECU06_0840	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	193
Q8SS43	Q8SS43_ENCCU	unreviewed	NUCLEOLAR PROTEIN SIMILAR TO NOP5	ECU04_0820	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	413
Q8SS54	Q8SS54_ENCCU	unreviewed	UBIQUITIN CONJUGATING ENZYME E2 18kDa SUBUNIT	ECU04_0630	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	172
Q8SUU7	Q8SUU7_ENCCU	unreviewed	MADS domain	ECU07_1740	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	211
Q8SV16	Q8SV16_ENCCU	unreviewed	Putative uncharacterized protein ECU07_0640	ECU07_0640	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	201
Q8SVL0	Q8SVL0_ENCCU	unreviewed	Putative uncharacterized protein ECU05_0560	ECU05_0560	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	179
Q8SW77	Q8SW77_ENCCU	unreviewed	Putative uncharacterized protein ECU03_0100	ECU03_0100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	521
Q8SW98	Q8SW98_ENCCU	unreviewed	Putative uncharacterized protein ECU02_1340	ECU02_1340	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	429
Q8SQS0	Q8SQS0_ENCCU	unreviewed	FARNESYL PYROPHOSPHATE SYNTHETASE	ECU11_1810	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	292
Q8SQT8	Q8SQT8_ENCCU	unreviewed	PROTEIN TRANSPORT PROTEIN SEC13 HOMOLOG (COPII COAT)	ECU11_1450	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	272
Q8SQU2	Q8SQU2_ENCCU	unreviewed	Ribosomal protein L15	ECU11_1380i	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	204
Q8SQV9	Q8SQV9_ENCCU	unreviewed	PROTEASOME REGULATORY SUBUNIT YTA6 OF THE AAA FAMILY OF ATPASES	ECU11_1030	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	425
Q8SR00	Q8SR00_ENCCU	unreviewed	DYNAMIN-LIKE VACUOLAR PROTEIN SORTING PROTEIN	ECU10_1700i	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	628
Q8SRA6	Q8SRA6_ENCCU	unreviewed	COATOMER BETA PRIME SUBUNIT	ECU08_1250	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	759
Q8SRJ1	Q8SRJ1_ENCCU	unreviewed	STRUCTURE-SPECIFIC RECOGNITION PROTEIN	ECU07_1010	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	425
Q8SS94	Q8SS94_ENCCU	unreviewed	UBIQUITIN-ACTIVATING ENZYME E1	ECU03_0930	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	991
Q8SSB7	Q8SSB7_ENCCU	unreviewed	DNA-directed RNA polymerase (EC 2.7.7.6)	ECU03_0440	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	1062
Q8SSC2	Q8SSC2_ENCCU	unreviewed	40S RIBOSOMAL PROTEIN S16	ECU03_0310	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	145
Q8SSF7	Q8SSF7_ENCCU	unreviewed	60S RIBOSOMAL PROTEIN L9	ECU02_0800	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	204
Q8SSI1	Q8SSI1_ENCCU	unreviewed	PROBABLE CATION TRANSPORTING ATPase	ECU02_0330	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	973
Q8SSM1	Q8SSM1_ENCCU	unreviewed	SMALL NUCLEAR RIBONUCLEOPROTEIN (U1/U2 snRNP)	ECU01_0545	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	99
Q8SSM5	Q8SSM5_ENCCU	unreviewed	ZUOTIN-RELATED PROTEIN	ECU01_0370	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	295
Q8STL6	Q8STL6_ENCCU	unreviewed	Similarity to ENHANCER OF ZESTE PROTEIN	ECU09_1750	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	537
Q8SU09	Q8SU09_ENCCU	unreviewed	Similarity to HYPOTHETICAL TRANSMEMBRANE PROTEIN YADA_SCHPO	ECU11_1700	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	320
Q8SV89	Q8SV89_ENCCU	unreviewed	Putative uncharacterized protein ECU06_1220	ECU06_1220	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	675
Q8SVA4	Q8SVA4_ENCCU	unreviewed	Similarity to the class 3 of adenyl cyclases Y891_MYCTU	ECU06_0960	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	267
Q8SVQ5	Q8SVQ5_ENCCU	unreviewed	Putative uncharacterized protein ECU04_1530	ECU04_1530	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	329
Q8SW12	Q8SW12_ENCCU	unreviewed	Putative uncharacterized protein ECU03_1290	ECU03_1290	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	378
Q8SW46	Q8SW46_ENCCU	unreviewed	Similarity to 20kDa NUCLEAR CAP BINDING PROTEIN	ECU03_0760	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	157
Q8SWJ6	Q8SWJ6_ENCCU	unreviewed	Putative uncharacterized protein ECU01_1095	ECU01_1095	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	92
Q8SR80	Q8SR80_ENCCU	unreviewed	SIGNAL RECOGNITION PARTICLE RECEPTOR ALPHA SUBUNIT	ECU10_0170	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	425
Q8SU39	Q8SU39_ENCCU	unreviewed	Similarity to HYPOTHETICAL OXIDOREDUCTASE YAEB_SCHPO	ECU11_1070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	299
Q8SWD6	Q8SWD6_ENCCU	unreviewed	Putative uncharacterized protein ECU02_0660	ECU02_0660	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	733
Q8SQM9	Q8SQM9_ENCCU	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	ECU09_0980	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	311
Q8SQV0	Q8SQV0_ENCCU	unreviewed	DNA MISMATCH REPAIR PROTEIN OF THE MUTL/HEXB FAMILY	ECU11_1260	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	630
Q8SQZ0	Q8SQZ0_ENCCU	unreviewed	LIM DOMAIN-CONTAINING PROTEIN	ECU11_0340	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	254
Q8SRC0	Q8SRC0_ENCCU	unreviewed	UBIQUITIN-CONJUGATING ENZYME E2-24KD (UBIQUITIN-PROTEIN LIGASE)	ECU08_0860	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	171
Q8SRG1	Q8SRG1_ENCCU	unreviewed	PROBABLE ABC TRANSPORTER	ECU08_0110	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	669
Q8SSC3	Q8SSC3_ENCCU	unreviewed	VACUOLAR ATP SYNTHASE SUBUNIT F	ECU03_0305	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	95
Q8SSH6	Q8SSH6_ENCCU	unreviewed	TRANSCRIPTION INITIATION FACTOR IIA	ECU02_0450	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	113
Q8SWF0	Q8SWF0_ENCCU	unreviewed	Putative uncharacterized protein ECU02_0390	ECU02_0390	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	528
Q8SQJ0	Q8SQJ0_ENCCU	unreviewed	RNA-BINDING PROTEIN OF THE PUMILIO FAMILY	ECU11_1730	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	530
Q8SRJ0	Q8SRJ0_ENCCU	unreviewed	26S PROTEASOME SUBUNIT ALPHA-4	ECU07_1040	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	224
Q8SRR5	Q8SRR5_ENCCU	unreviewed	DNA-DIRECTED RNA POLYMERASE II THIRD CHAIN	ECU06_0600	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	240
Q8SUC4	Q8SUC4_ENCCU	unreviewed	Putative uncharacterized protein ECU10_1340	ECU10_1340	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	223
Q8SUV4	Q8SUV4_ENCCU	unreviewed	Putative uncharacterized protein ECU07_1610	ECU07_1610	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	341
